"vpncode","madre_1_end","madre_2_end","madre_2weeks_1","madre_2weeks_2","madre_1_start","madre_2_start"
"DN12TO",3,4,4,1,4,4
"SB02CR",2,8,2,4,2,5
"RT11AM",3,5,2,2,3,2
"YO06RL",4,5,4,2,4,4
"AN09RO",2,5,3,1,3,5
"CR08LR",4,5,4,1,4,5
"AN02XX",3,1,3,1,4,2
"BA03RG",3,3,3,1,3,3
"EK01GO",3,5,3,1,3,5
"MR03TO",4,5,4,1,2,5
"SL03TO",2,7,2,4,2,4
"PT09MS",2,6,3,2,2,5
"AG06DE",3,7,3,3,2,4
"EI11CR",2,7,3,4,2,7
"KT04MT",4,6,3,4,3,6
"TR27LS",4,4,4,2,2,6
"SL06GR",3,6,4,2,4,4
"JD08AD",3,1,3,1,3,1
"SN07SR",2,7,2,4,3,4
"SS12GA",3,1,3,1,3,2
"OG01SR",3,4,3,2,4,2
"AD06KA",1,8,2,4,1,7
"MR01DM",4,1,4,1,4,2
"AJ11OA",4,6,4,2,2,6
"MR06WL",2,7,3,3,2,4
"RU04PT",2,4,3,1,3,3
"TN10PS",4,4,4,3,4,2
"SM02RU",4,5,4,2,4,4
"FA07OA",4,3,4,1,4,3
"NN01SS",4,6,4,2,3,4
"GB10TO",3,4,2,2,2,5
"NT09TO",4,5,4,3,3,1
"DR11KA",2,1,2,1,3,3
"HI09HR",2,6,3,1,2,5
"FA12CR",2,4,3,1,2,3
"SS12DR",4,4,4,1,4,5
"CR10TO",4,4,3,2,3,3
"LD11VK",3,7,3,3,4,4
"KR01DS",3,4,3,1,2,4
"KR09AE",4,6,4,3,4,5
"SM06HN",2,8,2,4,2,7
"SL09MC",3,3,3,1,3,3
"BT09VL",2,4,2,1,2,5
"SM01MR",4,5,4,2,4,4
"DR07EA",3,2,3,1,4,2
"BT02IG",3,3,3,1,3,3
"SL06CR",4,3,4,1,3,2
"GB06JH",4,1,4,1,2,1
"AN01TO",3,6,3,3,4,5
"AE08TO",3,8,3,4,1,7
"SE06HL",3,6,3,3,3,4
"UE06UR",2,6,2,3,2,5
"CA06FI",2,5,3,2,2,2
"AN10JR",5,4,5,1,4,3
"MC11DT",4,5,4,2,4,4
"UA12TO",4,3,4,1,4,3
"II08ER",3,6,4,2,3,4
"DR10AD",4,6,4,2,2,5
"DN01SE",3,3,3,2,2,3
"BT08RL",2,7,2,3,2,5
"AD09HL",2,4,2,2,4,3
"AN02DE",3,2,3,1,2,2
"SS01OI",2,6,2,1,2,5
"EA03AE",2,5,2,1,2,5
"WL03LD",4,4,4,1,4,3
"IG07RL",2,8,2,4,2,7
"BO08FA",4,5,4,2,4,6
"EI06AE",4,5,5,1,4,4
"SE01EI",3,7,3,3,2,5
"SF06IM",4,1,4,1,4,3
"DR02RL",3,5,3,2,3,5
"UE05TO",3,4,3,1,3,3
"RZ12JN",3,2,3,2,4,2
"TN10HL",4,4,4,2,2,6
"MR11HI",3,7,4,3,3,5
"AT04IA",3,4,2,2,4,4
"SN02VL",2,6,2,3,3,2
"LN07AD",3,4,3,1,2,3
"FH01FO",3,3,3,1,3,3
"AD09JN",4,1,3,1,3,1
"KT12SE",3,2,3,1,4,2
"ML07SE",3,6,3,3,2,3
"AG12SE",3,3,2,1,4,2
"SE04TO",3,4,3,1,4,2
"RF04PT",3,4,3,1,2,4
"SN01WL",3,4,3,1,3,3
"RT12RL",2,5,2,2,2,4
"UR07RL",3,6,3,3,2,4
"UR05RL",3,5,3,2,3,4
"HL03PT",4,7,4,3,4,5
"AE03TO",4,3,4,2,4,3
"SS09JH",3,5,3,2,3,4
"JN06AM",4,5,4,2,3,4
"HI05MR",2,7,2,4,4,4
"OA03VL",3,4,3,1,3,4
"JS08VC",4,2,4,2,3,1
"JD01HR",2,8,2,4,2,7
"BT08EW",4,5,4,3,4,5
"IS02AE",4,4,4,1,4,2
"RG08MR",2,6,2,3,2,4
"AD09DR",3,4,3,2,2,3
"SS05HR",2,1,3,1,2,3
"NE01TH",4,2,4,1,4,2
"JH12MR",3,4,3,1,2,2
"IG03RM",3,6,3,2,3,4
"AN07DR",3,5,2,2,2,5
"UR12TR",3,4,3,2,4,5
"BR12TO",4,3,4,1,4,2
"HL20VK",4,4,4,1,4,2
"LC09FN",2,8,2,3,2,6
"WB02MC",3,5,3,1,3,3
"RO12MA",4,3,4,1,2,3
"IN08OE",4,3,5,1,4,2
"GL07NB",2,6,2,1,2,5
"DN12MS",3,5,3,3,3,3
"KR12RL",3,2,4,1,3,3
"SM11RC",5,2,4,1,4,2
"GL09IM",4,4,3,1,3,3
"BI11WL",4,4,4,2,4,2
"SB08DM",4,4,4,2,2,3
"WL09EK",4,1,4,1,2,7
"PG11WL",2,7,2,3,2,7
"HL04MR",4,4,4,1,4,5
"JN06MR",3,1,4,1,3,3
"HI06CR",3,4,3,1,3,4
"SL07PT",4,3,2,2,3,3
"MH03GZ",2,7,3,2,3,6
"BR02HR",4,6,4,2,4,5
"AJ04SE",2,5,2,2,3,4
"JS05KR",2,5,2,1,2,5
"EK12AI",2,5,2,2,3,3
"HI01IG",3,2,3,1,4,3
"KT12EI",3,6,3,2,4,4
"KT07HN",4,1,4,1,4,1
"MR02OI",4,2,4,1,4,2
"AE11CR",3,6,2,2,2,5
"AI02RB",3,6,3,3,3,5
"DR09FA",3,4,3,1,3,6
"SS09MR",3,4,3,2,3,4
"SM11HN",3,3,3,1,2,5
"AE03HN",1,8,1,4,2,7
"AJ10AK",2,4,2,1,3,5
"BI10DE",2,8,2,4,2,6
"NT02CR",3,6,3,3,3,5
"BA01MC",2,6,3,2,2,5
"AE05TB",4,6,4,3,3,4
"AD06VL",3,7,3,3,3,5
"MC10TO",3,7,3,2,3,5
"MR10JR",3,1,3,1,3,1
"EK06BR",3,5,3,1,2,5
"MR07TO",3,3,2,1,4,3
"FT05SY",2,7,2,1,2,5
"MOZ08S",2,5,2,2,2,5
"MR09RB",2,7,3,4,2,5
"SE01DT",3,2,3,2,2,1
"MR01SE",3,4,3,2,3,3
"CR07HL",3,6,2,3,2,5
"KR01WR",3,3,2,2,4,2
"AK04WL",3,6,4,2,2,7
"MN06CA",2,6,2,1,2,4
"LL08PT",3,4,4,2,2,5
"SM03SM",4,3,3,2,4,3
"RG05BC",3,3,3,1,3,4
"GL09MH",4,5,3,1,4,4
"SR10DA",4,5,4,2,4,5
"AS05MH",2,2,2,1,2,2
"TN11HL",3,1,3,1,3,1
"HN05YS",2,7,3,4,2,6
"VL08ZK",3,4,3,1,3,2
"KR09AF",3,4,3,1,3,5
"CA02MR",3,6,4,4,4,4
"SE07UF",4,4,4,1,3,6
"SB12KR",4,4,3,1,3,3
"AJ10TO",2,6,2,1,2,4
"SS03FA",2,8,2,4,3,6
"CR04EW",3,3,3,1,3,3
"SB01MC",2,7,2,2,2,5
"MN09JA",2,7,2,2,2,6
"SB12HL",3,3,3,2,3,2
"PT02RC",4,1,4,1,4,1
"SL03HL",4,4,4,1,4,3
"AD12HU",4,8,4,4,3,7
"HL08RL",3,6,3,3,3,5
"SM06AD",4,6,4,3,4,4
"UE03HN",3,6,2,3,3,2
"AN03OT",2,6,3,1,3,7
"CN10MC",5,2,4,1,3,2
"SS08CR",4,4,4,1,2,4
"DN09BR",4,7,4,1,3,6
"NN08SE",4,6,5,1,2,7
"CR09SE",4,5,3,1,3,2
"KR08EI",2,5,2,2,3,3
"BA08AD",3,6,3,2,3,4
"KR04SB",3,5,3,1,3,4
"RG12CR",3,2,3,1,3,1
