"vpncode","age","gender","education","education_spec","occupation","study_programme"
"MR08AE",22,3,1,"-99",7,"-99"
"-99",-99,0,0,"-99",0,"-99"
"MR08GO",31,2,4,"-99",7,"-99"
"BT08RI",35,1,4,"-99",7,"-99"
"ZZXXZZ",123,1,4,"-99",5,"-99"
"ZZZZZZ",26,2,4,"-99",8,"-99"
"UR03BR",32,2,4,"-99",1,"LA Grundschule, Mathe Deutsch Sport"
"SN01BR",21,2,4,"-99",1,"Englisch und Sport (Lehramt)"
"KT04MT",25,2,4,"-99",1,"M.sc. Klinische Psychologie und psychologische Beratung"
"SM02RU",23,2,4,"-99",8,"-99"
"RZ12JN",26,2,4,"-99",8,"-99"
"DN12TO",21,2,4,"-99",1,"Bachelor Psychologie "
"MR01DM",20,2,4,"-99",8,"-99"
"PT09MS",20,2,4,"-99",1,"Psychologie "
"SE01EI",23,2,4,"-99",8,"-99"
"GB10TO",18,2,4,"-99",8,"-99"
"SL03TO",25,2,4,"-99",1,"Psychologie "
"AD03UE",21,1,4,"-99",1,"Lehramt Sport/Physik"
"CR08LR",19,2,4,"-99",1,"Psychologie "
"BA03RG",21,2,4,"-99",8,"-99"
"SB02CR",23,2,4,"-99",8,"-99"
"MR06WL",19,2,4,"-99",1,"Psychologie"
"SM01MR",19,2,4,"-99",8,"-99"
"RT11AM",35,1,4,"-99",1,"Psychologie"
"TN10PS",18,2,4,"-99",1,"Psychologie "
"AD06KA",22,2,4,"-99",1,"Psychologie "
"CR12TO",19,2,4,"-99",8,"-99"
"CR09SE",23,2,4,"-99",1,"BA LA gymge Sport englisch und Chemie "
"SS12DR",22,1,4,"-99",1,"Angewandte Kognitions und Medienwissenschaften "
"SS12GA",22,2,4,"-99",1,"Psychologie "
"UA12TO",19,2,4,"-99",8,"-99"
"AN02XX",21,2,4,"-99",1,"Psychologie "
"DR11KA",27,1,4,"-99",1,"Angewandte Kognitions- und Medienwissenschaft"
"AN09RO",29,2,4,"-99",1,"Angewandte Kognitions- und Medienwissenschaft"
"AG06DE",26,2,4,"-99",1,"Psychologie"
"KR01DS",28,2,4,"-99",8,"-99"
"YO06RL",19,2,4,"-99",8,"-99"
"VO11GO",26,1,4,"-99",1,"Psychologie"
"NI05JU",24,2,4,"-99",1,"Psychologie "
"MR12SE",31,1,4,"-99",9,"-99"
"AN11HI",44,1,4,"-99",6,"-99"
"SE06HL",21,1,4,"-99",1,"Jura"
"EK01GO",26,2,4,"-99",1,"Romanistik"
"LD01AD",32,2,4,"-99",8,"-99"
"II08ER",23,2,4,"-99",1,"Psychologie"
"CR06EW",20,2,4,"-99",1,"Rechtswissenschaft "
"EA03AE",21,2,4,"-99",1,"Soziale Arbeit "
"MR03TO",27,2,4,"-99",8,"-99"
"OG01SR",25,2,4,"-99",1,"Lehramt für Gymnasien und Gesamtschulen, Fächer: Deutsch und Biologie "
"SL06GR",21,1,4,"-99",9,"-99"
"FA07OA",24,2,4,"-99",7,"-99"
"NT09TO",20,2,4,"-99",8,"-99"
"SN07SR",24,2,4,"-99",1,"Psychologie "
"AT04IA",25,2,4,"-99",1,"Psychologie "
"KR01KA",20,2,4,"-99",8,"-99"
"TN10HL",22,2,4,"-99",9,"-99"
"CA89AE",22,2,4,"-99",6,"-99"
"NI05FR",24,2,4,"-99",1,"Psychologie"
"IG07RL",20,2,4,"-99",1,"Philosophie und Komparatistik "
"TR27LS",26,2,4,"-99",1,"Psychologie "
"EI11CR",38,2,4,"-99",1,"Psychologie "
"HI09HR",21,2,4,"-99",1,"Psychologie "
"JD08AD",21,2,4,"-99",1,"Psychologie"
"RU04PT",26,1,4,"-99",8,"-99"
"NN01SS",23,2,4,"-99",1,"Psychologie"
"LD11VK",27,2,4,"-99",8,"-99"
"TR01TR",26,2,5,"Studienkolleg (Abitur für Ausländer)",1,"Psychologie"
"JN10RL",20,1,4,"-99",1,"Sport und Biologie auf Lehramt "
"AD10HR",23,1,4,"-99",1,"Psychologie "
"KR03HN",22,1,4,"-99",1,"Psychologie"
"SE12EI",19,2,4,"-99",5,"-99"
"VR09AD",23,2,4,"-99",8,"-99"
"SM06HN",21,3,4,"-99",8,"-99"
"AK07AD",23,2,4,"-99",8,"-99"
"SL09MC",24,1,4,"-99",1,"Sport, Germanistik, Geschichte LaBA"
"SL06CR",21,2,4,"-99",1,"Medizin"
"BT02IG",21,2,4,"-99",1,"Psychologie"
"GL08AT",22,2,3,"-99",7,"-99"
"AJ11OA",19,2,4,"-99",8,"-99"
"KR09AE",19,2,4,"-99",1,"Psychologie"
"AI08KE",21,2,4,"-99",1,"Soziale Arbeit"
"SL03DR",20,1,4,"-99",1,"BA Lehramt GymGe Sport, Physik"
"AE08TO",22,2,4,"-99",8,"-99"
"BO08FA",40,2,4,"-99",7,"-99"
"AN01GR",21,2,4,"-99",8,"-99"
"SE09SE",23,2,4,"-99",8,"-99"
"SL04DE",22,2,4,"-99",1,"Psychologie"
"GB06JH",20,2,4,"-99",1,"Psychologie"
"DR07EA",27,1,4,"-99",9,"-99"
"AD02OH",24,2,6,"-99",8,"-99"
"US01MR",20,2,4,"-99",1,"Psychologie"
"FA12CR",20,2,4,"-99",1,"Psychologie"
"SM10JA",21,2,4,"-99",1,"Psychologie "
"AN01TO",20,2,4,"-99",8,"-99"
"AN10JR",20,1,4,"-99",1,"Psychologie "
"MC11DT",21,2,4,"-99",8,"-99"
"SF06IM",28,2,4,"-99",9,"-99"
"GT12WL",20,2,4,"-99",1,"Sport/Sowi Lehramt"
"UE01UE",39,1,5,"BA",1,"Öffentliche Verwaltung "
"CR10TO",21,1,4,"-99",8,"-99"
"IE07MR",18,2,4,"-99",8,"-99"
"UE06UR",21,2,4,"-99",8,"-99"
"WL03LD",29,2,4,"-99",8,"-99"
"CO25MO",30,2,6,"-99",1,"Psychologie "
"AT12RD",26,2,5,"Bachelor of arts",6,"-99"
"PT08GE",24,2,3,"-99",1,"Abitur Nachholen"
"BT09VL",24,2,4,"-99",8,"-99"
"AN02DE",48,2,4,"-99",7,"-99"
"AT09OI",21,1,4,"-99",1,"Medizin "
"JT04HN",21,2,4,"-99",1,"Mediendesign ab Oktober "
"DN01SE",25,1,3,"-99",7,"-99"
"KR09SE",33,2,4,"-99",7,"-99"
"EI06AE",21,2,4,"-99",1,"Jura"
"HL07AE",22,1,4,"-99",7,"-99"
"CA06FI",24,1,4,"-99",1,"Psychologie"
"DR10AD",21,2,4,"-99",8,"-99"
"MR11HI",22,2,4,"-99",9,"-99"
"II09MR",22,2,4,"-99",9,"-99"
"SN02VL",21,2,4,"-99",1,"Soziale Arbeit"
"BT08RL",18,2,4,"-99",8,"-99"
"SS01OI",24,2,4,"-99",1,"Psychologie"
"GD10MN",31,1,6,"-99",7,"-99"
"SS09AD",24,1,4,"-99",1,"Rechtswissenschaften"
"LN07AE",21,1,4,"-99",7,"-99"
"HM06MH",28,1,5,"Fachgebundene Hochschulereife (fgHr)",1,"Psychologie"
"AD09HL",21,2,4,"-99",1,"Psychologie "
"SS09JH",21,2,4,"-99",1,"Angewandte Kognitions und Medienwissenschaften "
"DR02RL",21,2,4,"-99",7,"-99"
"UE05TO",19,2,4,"-99",8,"-99"
"MN11TR",23,2,4,"-99",8,"-99"
"LN07AD",22,1,4,"-99",1,"B.A. Soziale Arbeit"
"KT12SE",21,2,4,"-99",8,"-99"
"FH01FO",21,2,4,"-99",9,"-99"
"US02KA",30,2,4,"-99",1,"Physikalische und Theoretische Chemie"
"DR01CR",23,2,4,"-99",8,"-99"
"XX02XX",24,2,4,"-99",1,"Psychologie"
"KT07JR",23,2,5,"Bachelor Fine Arts",1,"Kunst"
"UR11KA",23,1,4,"-99",1,"Informatik"
"AG12SE",31,3,4,"-99",7,"-99"
"RT12RL",28,2,4,"-99",7,"-99"
"ML07SE",22,2,4,"-99",1,"Theologie und Philosophie"
"AD09JN",20,2,4,"-99",1,"Psychologie"
"CR06MR",21,1,4,"-99",1,"Dualer Student Ernährungsberatung "
"SE04TO",20,2,4,"-99",1,"Psychologie"
"AN11CR",19,2,4,"-99",1,"Geowissenschaften"
"PT01KU",28,2,4,"-99",7,"-99"
"RF04PT",24,2,4,"-99",8,"-99"
"HI05MR",23,2,4,"-99",1,"Informatik"
"CR06CR",22,2,4,"-99",1,"Mathematik"
"CC07DI",44,1,4,"-99",7,"-99"
"JS03ML",31,2,5,"M.A.",7,"-99"
"SN01WL",19,2,4,"-99",8,"-99"
"NT06RM",22,2,4,"-99",1,"Biomedizinische Technik "
"CR10BR",22,1,4,"-99",1,"Psychologie"
"NR06SE",20,2,4,"-99",8,"-99"
"HI06RB",23,3,4,"-99",1,"kunst"
"JN06AM",20,2,4,"-99",8,"-99"
"RY07PR",21,2,4,"-99",1,"Psychologie "
"LC09FN",25,1,4,"-99",1,"Cyber Security"
"AD09AS",26,2,4,"-99",7,"-99"
"BR10JR",46,2,3,"-99",7,"-99"
"UR07RL",22,2,4,"-99",1,"Molekularbiologie "
"UR05RL",20,2,4,"-99",1,"Chemie "
"HL03PT",29,2,6,"-99",8,"-99"
"AE03TO",20,2,4,"-99",8,"-99"
"AD09PT",21,2,4,"-99",1,"Rechtswissenschaften "
"JS08VC",32,2,4,"-99",1,"Psychologie B.Sc."
"GR03GO",21,2,4,"-99",1,"Lehramt Physik und Philosophie "
"CRJUFE",33,2,4,"-99",7,"-99"
"OA03VL",21,2,4,"-99",8,"-99"
"BT08EW",25,2,4,"-99",1,"Theologie"
"CR06FE",34,2,4,"-99",7,"-99"
"JD01HR",21,2,4,"-99",1,"Jura"
"IS02AE",22,2,4,"-99",1,"Kunst und Chemie auf Lehramt"
"RG08MR",27,1,4,"-99",9,"-99"
"MC08KA",41,1,4,"-99",7,"-99"
"AD09DR",20,2,4,"-99",8,"-99"
"NE01TH",20,2,4,"-99",1,"Psychologie "
"SS05HR",26,2,4,"-99",8,"-99"
"AG01PT",39,2,4,"-99",1,"Lahramt Grundschule Master of Education Deutsch/Schunterricht"
"IG03RM",19,2,4,"-99",1,"Psychologie "
"JH12MR",48,2,4,"-99",7,"-99"
"UR12TR",18,2,4,"-99",8,"-99"
"AN07DR",24,1,4,"-99",1,"Psychologie"
"BR12TO",22,2,4,"-99",1,"Jura"
"RG12CR",21,1,4,"-99",1,"katholische Theologie "
"HL20VK",20,1,4,"-99",7,"-99"
"BA08AD",21,2,4,"-99",7,"-99"
"SN11GO",30,1,3,"-99",2,"-99"
"KT12NR",18,1,4,"-99",7,"-99"
"HN06KN",55,1,3,"-99",2,"-99"
"BH04FY",22,2,4,"-99",1,"Psychologie "
"BR29WL",19,2,4,"-99",7,"-99"
"SB08DM",18,2,6,"-99",7,"-99"
"WL09EK",23,2,5,"Diplom",7,"-99"
"AE03HR",21,2,4,"-99",1,"Psychologie"
"WB02MC",20,2,4,"-99",1,"Psychologie "
"AE11CR",21,2,4,"-99",7,"-99"
"GL09IM",25,1,5,"Master/2. Staatsexamen Lehramt",7,"-99"
"RO12MA",19,2,4,"-99",7,"-99"
"HL04MR",19,2,4,"-99",1,"Psychologie"
"BB11JH",22,1,4,"-99",1,"Psychologie"
"AJ10AK",19,2,4,"-99",7,"-99"
"BI11WL",19,2,4,"-99",1,"Psychologie "
"HI06CR",19,2,4,"-99",7,"-99"
"MN26RL",36,1,4,"-99",1,"Psychologie"
"JN52CS",20,2,4,"-99",8,"-99"
"MR07RI",19,1,4,"-99",9,"-99"
"XX09GB",18,1,4,"-99",8,"-99"
"RS11XX",18,3,4,"-99",9,"-99"
"MH03GZ",25,2,4,"-99",7,"-99"
"BAH09A",18,1,4,"-99",8,"-99"
"RT05PT",18,1,4,"-99",8,"-99"
"GL07NB",21,2,4,"-99",1,"Psychologie "
"NA02ED",18,1,4,"-99",7,"-99"
"PG11WL",19,1,4,"-99",7,"-99"
"KR12RL",19,1,4,"-99",7,"-99"
"DN12MS",18,1,4,"-99",1,"Psychologie "
"SL07PT",19,2,4,"-99",7,"-99"
"ML08LR",19,2,4,"-99",7,"-99"
"IN08OE",19,1,4,"-99",9,"-99"
"JS05KR",20,2,4,"-99",1,"Psychologie"
"JN06MR",20,2,4,"-99",1,"Psychologie "
"JN10SE",18,2,4,"-99",1,"Psychologie "
"BR02HR",19,2,4,"-99",7,"-99"
"SM11RC",18,2,4,"-99",1,"Rechtswissenschaft "
"IA08LR",18,1,4,"-99",1,"Psychologie"
"MR11UF",20,1,4,"-99",8,"-99"
"GR04HI",59,1,4,"-99",2,"-99"
"AE03HN",23,2,4,"-99",1,"Psychologie"
"KR08EI",21,2,4,"-99",7,"-99"
"MR07TO",19,2,4,"-99",1,"Psychologie"
"AJ04SE",19,2,4,"-99",7,"-99"
"SS09MR",20,2,4,"-99",7,"-99"
"SN07WL",19,2,4,"-99",1,"duales Studium Kommunikation "
"AK04WL",21,2,4,"-99",10,"-99"
"JH01MR",21,2,6,"-99",1,"Angewandte Kognitions- und Medienwissenschaften"
"TN05FA",22,1,4,"-99",10,"-99"
"UE09AE",27,1,4,"-99",10,"-99"
"RD02IO",21,2,4,"-99",1,"Ingineurwissenschaften"
"AG09RI",29,1,4,"-99",10,"-99"
"LL08PT",21,1,4,"-99",10,"-99"
"ND04AD",26,1,4,"-99",10,"-99"
"HI01IG",23,2,4,"-99",10,"-99"
"MR09RB",18,2,4,"-99",1,"Komedia "
"KT12EI",18,2,4,"-99",10,"-99"
"BR08XX",24,1,4,"-99",10,"-99"
"SN07SL",25,1,4,"-99",10,"-99"
"DR09FA",21,2,4,"-99",10,"-99"
"MC10TO",19,2,4,"-99",1,"Psychologie (B. Sc.)"
"SE01DT",20,1,4,"-99",10,"-99"
"NN08SE",21,2,4,"-99",10,"-99"
"MR02OI",19,1,4,"-99",10,"-99"
"BI10DE",21,2,4,"-99",7,"-99"
"CR07HL",19,2,4,"-99",1,"psychologie "
"MN04DR",20,2,4,"-99",10,"-99"
"EK06BR",25,2,4,"-99",10,"-99"
"AS05MH",24,2,5,"abi",10,"-99"
"MR01SE",22,2,6,"-99",10,"-99"
"AI02RB",18,2,6,"-99",7,"-99"
"KT07HN",19,2,6,"-99",7,"-99"
"XI01JS",21,2,6,"-99",1,"Angewandte Kognitions- und Medienwissenschaften "
"AE05TB",20,1,6,"-99",7,"-99"
"SM11HN",18,1,6,"-99",7,"-99"
"EK12AI",22,2,5,"Fachhochschulreife",8,"-99"
"TAN04P",20,2,6,"-99",7,"-99"
"NT02CR",22,2,6,"-99",7,"-99"
"MR10JR",18,2,6,"-99",8,"-99"
"ES04DE",22,3,6,"-99",7,"-99"
"SB08GO",21,2,6,"-99",1,"Komedia"
"JH03CR",22,1,6,"-99",7,"-99"
"FT05SY",19,2,6,"-99",7,"-99"
"GL10GN",20,2,6,"-99",7,"-99"
"EA07RM",19,2,6,"-99",7,"-99"
"KR01WR",20,2,6,"-99",7,"-99"
"SB01MC",20,2,6,"-99",7,"-99"
"AD06VL",21,2,6,"-99",8,"-99"
"EM07NK",18,1,6,"-99",7,"-99"
"MOZ08S",26,2,5,"Ich habe Bachelor aber nicht in Deutschland",7,"-99"
"TN11HL",20,1,6,"-99",7,"-99"
"MN06CA",27,2,6,"-99",7,"-99"
"BA01MC",25,2,6,"-99",8,"-99"
"SE05VK",22,2,6,"-99",7,"-99"
"DN10TO",20,2,6,"-99",1,"staatliches Verwaltungsrecht"
"SA11SE",20,2,6,"-99",1,"Psychologie "
"RG05BC",23,2,6,"-99",1,"Psychologie"
"KR09AF",24,1,6,"-99",8,"-99"
"GL09MH",19,2,6,"-99",7,"-99"
"KR04SB",22,2,6,"-99",7,"-99"
"SN08MR",23,1,6,"-99",1,"Lehramt Mathe Physik Philo"
"CA02MR",22,2,6,"-99",1,"Angewandte Kognitions- & Medienwissenschaften"
"GR04GO",21,2,6,"-99",1,"Physik und Philosophie fürs Lehramt "
"SM03SM",20,2,6,"-99",1,"Psychologie"
"RT02PR",24,1,5,"Staatsexamen Ausbildung medizinisch-diagnostischer Bereich",8,"-99"
"SR10DA",21,1,6,"-99",8,"-99"
"SS08CR",27,2,6,"-99",7,"-99"
"VL08ZK",18,2,6,"-99",8,"-99"
"OG10FA",22,1,6,"-99",3,"-99"
"HN05YS",26,2,6,"-99",1,"Psychologie"
"CR04EW",20,1,6,"-99",8,"-99"
"MN09JA",20,1,6,"-99",8,"-99"
"HI11BR",19,2,6,"-99",1,"aquatische Biologie"
"SS03FA",20,2,6,"-99",8,"-99"
"JI01KR",30,2,6,"-99",1,"Psychologie"
"SB12KR",34,2,6,"-99",2,"-99"
"AJ10TO",21,2,5,"IB",1,"Psychologie"
"SB12HL",19,1,6,"-99",1,"Psychologie "
"SE07UF",26,2,6,"-99",7,"-99"
"UR10HN",22,2,6,"-99",8,"-99"
"AD12HU",21,1,6,"-99",8,"-99"
"DR11BR",18,1,6,"-99",1,"Betriebswirtsxhaftslehre"
"ET10DN",18,2,6,"-99",1,"VWL"
"PT02RC",24,1,6,"-99",9,"-99"
"MG11DR",19,2,6,"-99",9,"-99"
"SL03HL",19,1,6,"-99",7,"-99"
"TL09IF",23,2,6,"-99",1,"Medien- und Kognitionswissenschaften "
"CN10MC",19,2,6,"-99",1,"Komedia"
"HL08RL",22,1,6,"-99",1,"Komedia"
"SM06AD",18,1,6,"-99",1,"Komedia"
"AN03OT",28,2,6,"-99",5,"-99"
"UE03HN",24,2,6,"-99",1,"Geographie"
"CR06HI",48,2,4,"-99",2,"-99"
"CR05GI",19,2,6,"-99",1,"Komedia"
"MR07PU",44,2,6,"-99",1,"-99"
"CA02HL",19,2,6,"-99",1,"BA Biologie"
"DN09BR",22,2,6,"-99",1,"Erziehungswissenschaft "
