"id","narq_1","narq_2","narq_3","narq_4","narq_5","narq_6","narq_8","narq_9","narq_10","narq_11","narq_12","narq_13","narq_14","narq_15","narq_18","narq_19","narq_20","narq_21","narq","narq_adm","narq_riv"
"DN12TO",4,2,2,1,5,1,5,3,1,1,2,1,2,1,2,3,1,3,2.22222222222222,3.22222222222222,1.22222222222222
"SB02CR",2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,1.94444444444444,2,1.88888888888889
"RT11AM",1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1.44444444444444,1.44444444444444,1.44444444444444
"YO06RL",3,3,3,2,4,4,2,3,4,4,3,2,1,1,3,2,1,2,2.61111111111111,2.77777777777778,2.44444444444444
"AN09RO",4,1,4,2,4,3,2,2,2,3,4,1,3,1,2,4,2,3,2.61111111111111,2.88888888888889,2.33333333333333
"CR08LR",3,2,3,2,2,3,3,2,2,3,4,3,3,1,1,1,1,3,2.33333333333333,2.22222222222222,2.44444444444444
"AN02XX",4,3,3,2,5,4,3,3,3,3,2,2,1,1,3,3,1,4,2.77777777777778,3.44444444444444,2.11111111111111
"BA03RG",2,1,2,1,3,1,3,1,1,1,3,1,1,1,1,2,1,3,1.61111111111111,2,1.22222222222222
"EK01GO",2,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,2,1.33333333333333,1.55555555555556,1.11111111111111
"MR03TO",4,2,3,4,3,3,4,2,2,2,2,2,2,1,2,2,1,3,2.44444444444444,2.77777777777778,2.11111111111111
"SL03TO",1,1,1,1,1,4,4,1,2,4,2,1,4,4,1,2,5,5,2.44444444444444,1.88888888888889,3
"PT09MS",2,1,3,2,4,2,4,2,1,2,2,3,1,1,1,1,1,3,2,2.33333333333333,1.66666666666667
"AG06DE",3,2,2,3,3,4,2,2,3,3,2,3,2,2,3,2,2,3,2.55555555555556,2.44444444444444,2.66666666666667
"EI11CR",1,1,1,2,4,4,4,2,4,2,4,2,4,2,2,2,2,3,2.55555555555556,2.22222222222222,2.88888888888889
"KT04MT",3,1,1,1,3,2,4,1,2,1,1,1,2,1,1,3,1,1,1.66666666666667,2,1.33333333333333
"TR27LS",3,2,2,2,5,1,4,1,1,1,3,1,2,1,1,0,1,3,1.88888888888889,2.33333333333333,1.44444444444444
"SL06GR",2,3,2,3,3,4,2,2,3,3,4,4,3,1,3,1,1,2,2.55555555555556,2.22222222222222,2.88888888888889
"JD08AD",3,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,2,1
"SN07SR",3,2,2,2,4,3,4,3,3,2,3,2,2,1,2,2,1,4,2.5,2.88888888888889,2.11111111111111
"SS12GA",2,1,1,1,4,1,4,3,1,2,1,1,5,1,1,1,1,5,2,2.44444444444444,1.55555555555556
"OG01SR",3,1,2,2,5,1,2,3,1,1,1,1,1,1,2,1,1,4,1.83333333333333,2.55555555555556,1.11111111111111
"AD06KA",1,1,2,1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1.33333333333333,1.44444444444444,1.22222222222222
"MR01DM",2,3,4,4,5,1,2,4,2,4,4,2,5,1,4,2,3,4,3.11111111111111,3.33333333333333,2.88888888888889
"AJ11OA",4,1,2,1,3,1,2,2,1,2,2,1,4,1,3,2,3,3,2.11111111111111,2.44444444444444,1.77777777777778
"MR06WL",3,3,3,2,3,2,2,2,2,2,3,2,2,1,2,2,2,2,2.22222222222222,2.44444444444444,2
"RU04PT",1,1,2,2,2,2,4,2,2,3,4,2,2,1,1,2,1,4,2.11111111111111,2.11111111111111,2.11111111111111
"TN10PS",4,3,4,2,5,4,3,4,4,2,4,2,4,1,4,4,1,3,3.22222222222222,3.77777777777778,2.66666666666667
"SM02RU",3,2,2,3,5,4,3,1,4,4,4,2,1,1,2,3,1,3,2.66666666666667,2.66666666666667,2.66666666666667
"FA07OA",4,1,3,1,5,1,3,2,1,1,1,2,1,1,2,3,1,2,1.94444444444444,2.77777777777778,1.11111111111111
"NN01SS",4,2,4,1,4,1,3,3,1,1,5,1,1,1,1,3,1,3,2.22222222222222,3,1.44444444444444
"GB10TO",4,2,2,2,4,2,3,4,1,1,3,1,4,1,2,4,1,4,2.5,3.22222222222222,1.77777777777778
"NT09TO",4,3,3,1,5,1,3,1,1,1,1,1,1,1,2,3,1,2,1.94444444444444,2.88888888888889,1
"DR11KA",3,4,3,1,4,1,4,1,1,1,4,1,3,1,2,4,1,1,2.22222222222222,2.88888888888889,1.55555555555556
"HI09HR",3,2,2,2,3,4,3,2,3,4,2,2,2,1,2,2,2,4,2.5,2.55555555555556,2.44444444444444
"FA12CR",3,1,3,1,4,2,2,1,1,2,2,1,2,1,3,1,1,4,1.94444444444444,2.44444444444444,1.44444444444444
"SS12DR",3,2,2,2,3,4,2,2,3,3,2,2,2,1,2,3,1,4,2.38888888888889,2.55555555555556,2.22222222222222
"CR10TO",3,4,2,4,2,4,2,4,3,3,3,3,5,2,4,2,2,3,3.05555555555556,2.88888888888889,3.22222222222222
"LD11VK",4,1,2,1,5,1,4,1,1,1,2,1,1,1,1,2,1,4,1.88888888888889,2.66666666666667,1.11111111111111
"KR01DS",3,1,1,1,4,4,4,3,3,4,3,1,3,1,1,3,2,3,2.5,2.55555555555556,2.44444444444444
"KR09AE",3,2,2,2,3,1,2,2,1,3,2,2,1,1,1,2,1,3,1.88888888888889,2.22222222222222,1.55555555555556
"SM06HN",3,3,4,5,5,5,5,5,2,5,5,4,1,1,4,4,1,4,3.66666666666667,4.11111111111111,3.22222222222222
"SL09MC",4,2,2,2,3,2,2,3,1,1,4,2,1,1,4,4,1,4,2.38888888888889,3.11111111111111,1.66666666666667
"BT09VL",4,2,2,2,4,2,1,1,1,1,4,1,1,1,1,1,1,3,1.83333333333333,2.11111111111111,1.55555555555556
"SM01MR",4,2,3,2,4,3,2,3,3,2,3,2,1,1,1,2,1,3,2.33333333333333,2.66666666666667,2
"DR07EA",4,2,2,2,4,5,3,2,4,4,4,1,3,2,2,2,3,3,2.88888888888889,2.66666666666667,3.11111111111111
"BT02IG",2,2,2,1,4,1,2,1,1,1,3,1,2,1,1,1,1,1,1.55555555555556,1.77777777777778,1.33333333333333
"SL06CR",4,3,4,1,2,4,2,2,1,1,2,1,3,1,3,2,1,3,2.22222222222222,2.77777777777778,1.66666666666667
"GB06JH",4,2,3,1,4,4,1,1,1,1,3,1,1,1,1,1,1,4,1.94444444444444,2.33333333333333,1.55555555555556
"AN01TO",2,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1.33333333333333,1.55555555555556,1.11111111111111
"AE08TO",3,2,4,1,5,3,2,1,1,2,4,1,1,1,1,2,1,3,2.11111111111111,2.55555555555556,1.66666666666667
"SE06HL",4,4,4,4,5,4,5,3,3,3,2,4,1,1,5,5,1,4,3.44444444444444,4.33333333333333,2.55555555555556
"UE06UR",4,1,2,2,5,2,2,3,2,3,4,1,2,1,1,1,1,3,2.22222222222222,2.44444444444444,2
"CA06FI",1,1,1,1,1,1,4,1,1,4,2,1,1,1,1,1,1,1,1.38888888888889,1.33333333333333,1.44444444444444
"AN10JR",4,4,4,2,3,2,2,3,2,2,2,2,2,2,3,2,2,3,2.55555555555556,3.11111111111111,2
"MC11DT",2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1.27777777777778,1.55555555555556,1
"UA12TO",3,2,2,2,3,4,3,2,2,2,3,2,2,1,4,2,1,4,2.44444444444444,2.77777777777778,2.11111111111111
"II08ER",4,5,3,2,4,5,3,3,5,4,4,1,5,2,4,3,4,2,3.5,3.44444444444444,3.55555555555556
"DR10AD",2,2,4,2,4,2,4,3,2,2,3,2,2,1,3,4,2,4,2.66666666666667,3.33333333333333,2
"DN01SE",2,1,3,2,4,4,3,2,3,3,2,2,3,1,2,2,3,3,2.5,2.44444444444444,2.55555555555556
"BT08RL",3,3,4,4,4,4,2,2,2,2,5,3,3,1,3,2,1,2,2.77777777777778,2.77777777777778,2.77777777777778
"AD09HL",3,1,2,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1.38888888888889,1.55555555555556,1.22222222222222
"AN02DE",3,2,4,4,4,3,3,4,2,3,3,3,1,1,4,4,1,3,2.88888888888889,3.44444444444444,2.33333333333333
"SS01OI",4,2,3,2,3,2,2,2,1,1,2,2,2,1,1,3,2,4,2.16666666666667,2.66666666666667,1.66666666666667
"EA03AE",5,2,3,1,4,2,3,2,1,1,4,1,1,1,3,2,1,4,2.27777777777778,3.11111111111111,1.44444444444444
"WL03LD",5,1,3,1,5,1,4,2,2,2,3,2,1,1,4,3,1,4,2.5,3.44444444444444,1.55555555555556
"IG07RL",5,4,3,3,5,4,3,4,4,4,4,4,3,2,3,4,3,4,3.66666666666667,3.88888888888889,3.44444444444444
"BO08FA",4,3,4,3,5,5,5,4,2,1,4,3,5,1,3,5,1,4,3.44444444444444,4.11111111111111,2.77777777777778
"EI06AE",4,2,3,2,4,3,4,3,2,2,2,1,1,1,1,2,1,2,2.22222222222222,2.77777777777778,1.66666666666667
"SE01EI",3,1,3,4,4,4,4,2,1,1,4,2,1,1,1,4,1,4,2.5,2.88888888888889,2.11111111111111
"SF06IM",4,3,3,4,5,3,3,3,2,3,4,3,1,1,4,4,1,3,3,3.55555555555556,2.44444444444444
"DR02RL",3,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1.33333333333333,1.55555555555556,1.11111111111111
"UE05TO",3,1,3,2,4,2,3,3,1,2,4,1,1,1,2,2,1,2,2.11111111111111,2.55555555555556,1.66666666666667
"RZ12JN",5,3,4,5,5,5,5,4,5,5,4,4,2,1,4,3,1,3,3.77777777777778,4,3.55555555555556
"TN10HL",2,4,3,4,4,5,4,4,4,4,4,4,4,2,4,3,3,4,3.66666666666667,3.55555555555556,3.77777777777778
"MR11HI",4,3,3,2,4,3,2,2,3,2,3,3,2,1,2,2,1,3,2.5,2.77777777777778,2.22222222222222
"AT04IA",1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,1,1,1,1.38888888888889,1.11111111111111,1.66666666666667
"SN02VL",4,1,3,2,3,3,3,3,2,2,4,2,2,1,3,2,1,3,2.44444444444444,2.77777777777778,2.11111111111111
"LN07AD",4,2,4,3,4,4,3,3,2,3,3,1,2,1,4,4,2,4,2.94444444444444,3.55555555555556,2.33333333333333
"FH01FO",2,3,2,2,4,2,2,3,2,1,3,1,2,1,3,2,1,3,2.16666666666667,2.66666666666667,1.66666666666667
"AD09JN",4,2,4,1,4,3,3,2,1,1,2,2,2,1,1,3,1,4,2.27777777777778,3,1.55555555555556
"KT12SE",4,2,3,2,3,1,3,1,1,2,2,1,1,1,1,3,1,3,1.94444444444444,2.55555555555556,1.33333333333333
"ML07SE",4,3,2,3,3,1,4,1,1,3,2,1,1,1,2,4,1,3,2.22222222222222,2.88888888888889,1.55555555555556
"AG12SE",4,2,3,1,4,2,2,4,1,1,4,1,1,1,4,3,1,1,2.22222222222222,3,1.44444444444444
"SE04TO",3,2,3,4,4,3,2,2,3,1,3,2,1,1,2,2,1,2,2.27777777777778,2.44444444444444,2.11111111111111
"RF04PT",4,1,3,2,4,2,4,3,1,2,4,2,2,1,3,3,2,3,2.55555555555556,3.11111111111111,2
"SN01WL",5,2,4,3,4,2,4,4,2,3,5,3,2,1,4,2,1,3,3,3.55555555555556,2.44444444444444
"RT12RL",4,2,2,1,2,1,1,1,1,1,2,1,1,0,2,1,1,2,1.44444444444444,1.88888888888889,1
"UR07RL",1,1,2,2,2,2,1,1,2,1,4,1,1,1,1,1,1,1,1.44444444444444,1.22222222222222,1.66666666666667
"UR05RL",2,1,3,2,3,3,3,2,2,1,2,1,2,1,1,3,1,2,1.94444444444444,2.22222222222222,1.66666666666667
"HL03PT",4,1,1,1,4,1,3,2,1,1,1,1,1,1,2,2,1,3,1.72222222222222,2.44444444444444,1
"AE03TO",2,1,2,1,3,2,3,2,1,1,2,2,2,1,2,2,1,3,1.83333333333333,2.22222222222222,1.44444444444444
"SS09JH",4,2,2,1,4,3,2,4,3,3,3,1,4,0,2,2,1,2,2.38888888888889,2.66666666666667,2.11111111111111
"JN06AM",4,2,4,2,4,2,3,3,2,2,2,2,2,1,4,3,1,5,2.66666666666667,3.55555555555556,1.77777777777778
"HI05MR",2,2,4,3,4,4,5,1,2,4,5,2,4,1,3,2,1,5,3,3.11111111111111,2.88888888888889
"OA03VL",2,1,2,1,4,2,5,2,1,1,2,1,2,1,1,4,1,4,2.05555555555556,2.77777777777778,1.33333333333333
"JS08VC",3,1,2,2,4,1,3,2,1,1,3,1,1,1,3,2,1,3,1.94444444444444,2.55555555555556,1.33333333333333
"JD01HR",4,1,2,3,4,4,2,2,1,1,2,1,1,1,1,1,1,4,2,2.33333333333333,1.66666666666667
"BT08EW",4,2,4,1,4,1,2,4,1,1,2,1,1,1,4,5,1,5,2.44444444444444,3.77777777777778,1.11111111111111
"IS02AE",4,3,3,2,4,2,3,4,2,3,2,2,4,1,4,3,1,4,2.83333333333333,3.55555555555556,2.11111111111111
"RG08MR",4,4,4,1,4,3,4,3,2,2,3,2,2,1,3,4,2,3,2.83333333333333,3.66666666666667,2
"AD09DR",4,3,3,2,4,2,4,3,2,3,1,3,3,1,4,3,1,2,2.66666666666667,3.33333333333333,2
"SS05HR",2,3,4,3,2,4,2,4,3,3,5,4,2,1,4,2,1,4,2.94444444444444,3,2.88888888888889
"NE01TH",2,1,2,4,5,4,4,3,1,1,2,4,1,1,2,4,1,3,2.5,2.88888888888889,2.11111111111111
"JH12MR",2,1,2,3,4,3,2,1,2,2,3,2,2,1,2,1,2,3,2.11111111111111,2,2.22222222222222
"IG03RM",4,3,3,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1.94444444444444,2.44444444444444,1.44444444444444
"AN07DR",2,3,3,2,3,4,2,2,3,3,3,1,1,3,2,2,2,3,2.44444444444444,2.44444444444444,2.44444444444444
"UR12TR",4,1,3,1,3,1,3,3,1,1,2,1,1,1,2,2,1,3,1.88888888888889,2.66666666666667,1.11111111111111
"BR12TO",4,1,4,1,4,2,4,1,1,2,3,1,1,1,2,1,1,1,1.94444444444444,2.44444444444444,1.44444444444444
"HL20VK",4,3,4,1,5,3,4,4,1,1,4,2,1,1,3,2,1,1,2.5,3.33333333333333,1.66666666666667
"LC09FN",4,1,2,1,4,1,2,2,1,2,3,1,4,1,4,1,1,2,2.05555555555556,2.44444444444444,1.66666666666667
"WB02MC",2,4,4,2,2,3,2,3,2,2,3,2,2,1,4,2,4,3,2.61111111111111,2.88888888888889,2.33333333333333
"RO12MA",3,3,4,2,5,2,2,4,2,3,1,2,2,2,4,4,2,4,2.83333333333333,3.66666666666667,2
"IN08OE",5,3,2,4,4,3,1,2,1,1,2,1,1,1,3,3,1,1,2.16666666666667,2.66666666666667,1.66666666666667
"GL07NB",4,1,2,2,4,3,3,2,2,3,2,1,3,1,3,3,2,4,2.5,2.88888888888889,2.11111111111111
"DN12MS",4,2,2,2,4,4,2,3,1,1,2,2,2,1,4,3,1,5,2.5,3.22222222222222,1.77777777777778
"KR12RL",4,2,4,1,3,2,4,1,1,1,2,1,1,1,3,3,1,4,2.16666666666667,3.11111111111111,1.22222222222222
"SM11RC",5,4,5,4,5,5,5,5,5,5,2,2,4,1,4,5,1,4,3.94444444444444,4.66666666666667,3.22222222222222
"GL09IM",3,2,4,2,4,5,4,2,3,3,4,2,3,1,2,2,3,3,2.88888888888889,2.88888888888889,2.88888888888889
"BI11WL",4,1,3,2,3,5,3,3,5,5,4,1,4,1,3,2,2,4,3.05555555555556,2.88888888888889,3.22222222222222
"SB08DM",3,3,3,4,4,4,3,3,4,3,4,2,2,1,2,3,2,4,3,3.11111111111111,2.88888888888889
"WL09EK",3,2,3,2,4,4,3,2,2,2,4,1,1,1,2,2,1,4,2.38888888888889,2.77777777777778,2
"PG11WL",2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.22222222222222,1.44444444444444,1
"HL04MR",1,1,1,1,4,1,4,1,1,1,1,1,1,1,2,1,1,1,1.38888888888889,1.77777777777778,1
"JN06MR",4,2,3,1,4,2,4,3,1,2,2,1,3,1,2,3,2,3,2.38888888888889,3.11111111111111,1.66666666666667
"HI06CR",5,2,3,2,4,2,1,2,1,1,1,1,1,1,2,2,1,2,1.88888888888889,2.55555555555556,1.22222222222222
"SL07PT",4,1,2,1,5,1,4,1,1,1,2,1,1,1,1,1,1,2,1.72222222222222,2.33333333333333,1.11111111111111
"MH03GZ",3,2,3,1,4,4,3,4,3,3,3,2,2,1,4,3,1,2,2.66666666666667,3.11111111111111,2.22222222222222
"BR02HR",4,1,3,1,4,3,4,2,1,1,1,1,1,1,2,1,1,2,1.88888888888889,2.55555555555556,1.22222222222222
"AJ04SE",4,3,4,3,4,2,4,3,2,2,4,3,1,1,2,2,1,3,2.66666666666667,3.22222222222222,2.11111111111111
"JS05KR",4,1,4,1,5,4,2,4,1,4,3,4,1,1,4,4,1,3,2.83333333333333,3.44444444444444,2.22222222222222
"EK12AI",3,2,4,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1.55555555555556,2.11111111111111,1
"HI01IG",4,2,2,1,4,3,5,1,1,1,1,1,1,1,1,4,1,1,1.94444444444444,2.66666666666667,1.22222222222222
"KT12EI",3,1,3,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1.44444444444444,1.77777777777778,1.11111111111111
"KT07HN",2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1.27777777777778,1.33333333333333,1.22222222222222
"MR02OI",4,2,2,1,1,3,1,1,1,3,3,1,1,1,1,1,1,3,1.72222222222222,1.77777777777778,1.66666666666667
"AE11CR",3,5,4,2,5,5,5,3,4,5,3,1,5,1,3,2,1,5,3.44444444444444,3.88888888888889,3
"AI02RB",4,2,3,3,5,2,3,3,1,1,2,2,2,1,3,3,1,3,2.44444444444444,3.22222222222222,1.66666666666667
"DR09FA",4,4,3,3,5,5,3,4,5,4,3,2,4,1,4,3,4,3,3.55555555555556,3.66666666666667,3.44444444444444
"SS09MR",3,3,5,4,5,5,4,5,3,4,4,3,1,1,4,4,1,3,3.44444444444444,4,2.88888888888889
"SM11HN",4,4,2,1,4,5,3,3,5,5,2,2,1,1,3,4,1,2,2.88888888888889,3.22222222222222,2.55555555555556
"AE03HN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AJ10AK",1,1,1,1,1,4,1,1,3,3,4,1,4,1,1,1,1,3,1.83333333333333,1.22222222222222,2.44444444444444
"BI10DE",4,3,4,1,4,1,3,4,1,1,3,1,1,1,4,3,1,3,2.38888888888889,3.55555555555556,1.22222222222222
"NT02CR",3,2,4,2,4,3,3,2,3,2,3,2,2,1,4,3,2,4,2.72222222222222,3.22222222222222,2.22222222222222
"BA01MC",4,1,4,1,4,3,3,2,2,1,2,1,1,1,2,4,1,2,2.16666666666667,2.88888888888889,1.44444444444444
"AE05TB",3,2,2,3,4,2,4,2,2,3,2,3,3,1,3,3,1,2,2.5,2.77777777777778,2.22222222222222
"AD06VL",4,3,4,1,4,1,4,3,1,2,2,1,1,1,3,3,1,4,2.38888888888889,3.55555555555556,1.22222222222222
"MC10TO",1,1,2,3,4,3,2,1,2,1,3,1,1,1,1,1,1,2,1.72222222222222,1.66666666666667,1.77777777777778
"MR10JR",3,3,2,1,3,3,1,3,2,1,3,1,2,1,4,1,1,3,2.11111111111111,2.55555555555556,1.66666666666667
"EK06BR",2,2,4,3,2,3,3,2,4,4,2,3,2,3,3,2,2,3,2.72222222222222,2.55555555555556,2.88888888888889
"MR07TO",4,2,4,2,4,3,4,4,1,1,2,2,2,1,3,3,1,1,2.44444444444444,3.22222222222222,1.66666666666667
"FT05SY",4,4,3,3,5,1,4,4,1,2,2,2,2,1,4,4,1,4,2.83333333333333,4,1.66666666666667
"MOZ08S",3,2,2,4,4,5,4,4,4,4,3,2,4,2,3,3,2,2,3.16666666666667,3,3.33333333333333
"MR09RB",3,2,2,2,4,3,2,3,2,2,3,2,2,1,0,2,1,3,2.16666666666667,2.33333333333333,2
"SE01DE",4,4,4,3,4,3,4,4,2,3,2,2,4,1,2,3,2,4,3.05555555555556,3.66666666666667,2.44444444444444
"MR01SE",2,1,3,2,2,3,2,1,2,2,3,1,1,1,2,1,1,3,1.83333333333333,1.88888888888889,1.77777777777778
"CR07HL",2,1,2,2,4,3,3,1,2,1,4,2,2,1,3,2,1,4,2.22222222222222,2.44444444444444,2
"KR01WR",3,1,2,3,3,3,2,3,3,3,2,2,1,1,2,2,1,3,2.22222222222222,2.33333333333333,2.11111111111111
"AK04WL",1,1,1,1,3,4,1,1,4,2,1,1,4,1,1,1,2,4,1.88888888888889,1.55555555555556,2.22222222222222
"MN06CA",4,4,3,3,4,3,2,3,2,2,3,3,1,1,3,2,1,3,2.61111111111111,3.11111111111111,2.11111111111111
"LL08PT",4,3,4,2,4,3,4,3,2,2,2,2,2,2,3,3,2,3,2.77777777777778,3.44444444444444,2.11111111111111
"SM03SM",5,3,4,1,5,2,2,4,3,2,2,2,1,1,5,3,1,3,2.72222222222222,3.77777777777778,1.66666666666667
"RG05BC",4,4,2,2,4,3,2,3,3,1,2,1,1,1,4,4,1,3,2.5,3.33333333333333,1.66666666666667
"GL09MH",2,1,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,3,1.5,2,1
"SR10DA",3,2,4,1,4,3,5,2,3,1,3,1,2,1,3,4,1,4,2.61111111111111,3.44444444444444,1.77777777777778
"AS05MH",3,4,2,4,4,4,3,4,2,2,2,2,1,1,2,2,1,1,2.44444444444444,2.77777777777778,2.11111111111111
"TN11HL",3,2,3,2,3,4,3,3,3,4,4,2,4,1,3,2,3,3,2.88888888888889,2.77777777777778,3
"HN05YS",4,3,0,3,3,1,3,1,1,1,3,3,3,1,1,1,1,1,1.88888888888889,1.88888888888889,1.88888888888889
"VL08ZK",4,2,2,1,5,1,4,3,1,1,2,1,1,1,4,3,1,3,2.22222222222222,3.33333333333333,1.11111111111111
"KR09AF",3,2,4,2,3,1,3,2,1,1,1,1,4,1,3,2,1,3,2.11111111111111,2.77777777777778,1.44444444444444
"CA02MR",5,4,5,4,4,4,4,5,5,4,2,4,1,1,4,4,1,3,3.55555555555556,4.22222222222222,2.88888888888889
"SE07UF",4,3,5,2,5,2,5,5,1,1,2,1,1,1,5,5,1,5,3,4.66666666666667,1.33333333333333
"SB12KR",3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1.33333333333333,1.55555555555556,1.11111111111111
"AJ10TO",4,4,3,2,4,4,2,2,2,4,5,2,2,1,3,3,1,3,2.83333333333333,3.11111111111111,2.55555555555556
"SS03FA",2,3,3,2,4,4,4,2,2,4,4,1,2,1,2,2,1,4,2.61111111111111,2.88888888888889,2.33333333333333
"CR04EW",3,1,2,2,3,2,3,2,2,2,3,1,3,1,1,2,2,3,2.11111111111111,2.22222222222222,2
"SB01MC",2,2,2,2,4,2,2,2,3,1,3,1,2,1,3,2,1,1,2,2.22222222222222,1.77777777777778
"MN09JA",1,3,1,2,1,2,3,1,2,1,2,2,2,1,1,4,1,1,1.72222222222222,1.77777777777778,1.66666666666667
"SB12HL",4,3,2,4,3,5,4,2,4,4,3,2,1,1,1,2,1,4,2.77777777777778,2.77777777777778,2.77777777777778
"PT02RC",4,3,4,1,3,3,3,1,2,2,3,1,3,1,1,1,1,1,2.11111111111111,2.33333333333333,1.88888888888889
"SL03HL",2,1,2,1,2,1,3,1,1,1,4,1,4,1,1,1,2,3,1.77777777777778,1.77777777777778,1.77777777777778
"AD12HU",4,2,3,2,4,3,4,2,3,2,1,1,2,1,2,3,2,4,2.5,3.11111111111111,1.88888888888889
"HL08RL",1,2,2,1,2,3,3,1,2,1,3,1,2,1,1,1,1,3,1.72222222222222,1.77777777777778,1.66666666666667
"SM06AD",4,2,2,1,5,3,2,1,2,2,5,2,1,1,2,2,1,4,2.33333333333333,2.66666666666667,2
"UE03HN",3,4,4,4,4,4,4,3,4,4,2,3,2,1,3,4,3,3,3.27777777777778,3.55555555555556,3
"AN03OT",3,2,4,2,2,3,5,2,1,1,3,2,3,1,3,4,0,3,2.44444444444444,3.11111111111111,1.77777777777778
"CN10MC",2,1,2,1,2,3,2,1,3,4,1,1,2,1,1,2,1,2,1.77777777777778,1.66666666666667,1.88888888888889
"SS08CR",4,3,2,2,4,1,4,2,1,1,3,2,1,1,4,3,1,3,2.33333333333333,3.22222222222222,1.44444444444444
"DN09BR",3,2,3,4,2,5,2,1,3,2,5,4,1,1,2,2,1,3,2.55555555555556,2.22222222222222,2.88888888888889
"NN08SE",4,1,5,1,4,3,4,2,1,4,5,1,1,1,4,4,1,4,2.77777777777778,3.55555555555556,2
"CR09SE",4,2,3,1,3,2,3,3,1,1,2,1,2,1,1,1,1,3,1.94444444444444,2.55555555555556,1.33333333333333
"KR08EI",3,2,3,1,4,2,4,2,2,1,1,2,4,1,1,1,4,4,2.33333333333333,2.66666666666667,2
"BA08AD",2,1,1,1,4,1,1,1,3,1,4,3,1,1,1,1,1,3,1.72222222222222,1.66666666666667,1.77777777777778
"KR04SB",5,5,4,1,1,2,5,5,1,1,1,1,1,1,5,4,1,3,2.61111111111111,4.11111111111111,1.11111111111111
"RG12CR",4,2,3,2,4,2,4,2,1,3,2,2,3,1,2,3,1,3,2.44444444444444,3,1.88888888888889
