"id","neo_1","neo_2","neo_3","neo_4","neo_5","neo_6","neo_7","neo_8","neo_9","neo_10","neo_11","neo_12","neo_13","neo_14","neo_15","neo_16","neo_17","neo_18","neo_19","neo_20","neo_21","neo_22","neo_23","neo_24","neo_25","neo_26","neo_27","neo_28","neo_29","neo_30","neo_31","neo_32","neo_33","neo_34","neo_35","neo_36","neo_37","neo_38","neo_39","neo_40","neo_41","neo_42","neo_43","neo_44","neo_45","neo_46","neo_47","neo_48","neo_49","neo_50","neo_51","neo_52","neo_53","neo_54","neo_55","neo_56","neo_57","neo_58","neo_59","neo_60","neur","xtra","open","agre","cons"
"DN12TO",4,2,4,5,4,2,4,4,5,4,4,5,3,5,4,2,3,5,4,4,2,2,1,4,4,1,3,2,5,3,4,2,5,4,4,2,4,5,5,5,2,5,2,4,4,3,2,2,5,4,2,4,4,5,5,1,4,2,5,3,2.41666666666667,3.33333333333333,3.25,4.66666666666667,4
"SB02CR",NA,2,4,3,3,3,3,4,2,3,3,4,3,3,3,NA,2,3,3,3,3,3,3,4,3,3,3,4,3,3,3,2,3,3,2,3,4,3,4,3,3,2,3,3,3,2,2,3,2,3,3,3,4,3,3,3,3,3,4,4,2.9,2.75,3.33333333333333,3.08333333333333,3
"RT11AM",4,3,3,5,3,2,2,5,3,2,2,3,4,3,4,4,3,5,4,4,3,1,5,2,4,4,2,2,3,4,3,3,4,3,4,2,3,5,3,4,2,4,4,4,2,4,1,5,4,4,1,2,5,3,5,5,3,5,3,4,3,2.5,4.33333333333333,3.33333333333333,3.66666666666667
"YO06RL",2,3,1,4,3,3,4,4,4,3,3,3,5,4,4,4,3,4,4,4,3,3,4,4,3,3,3,2,4,3,3,2,4,4,4,4,3,5,3,5,4,3,5,3,4,4,1,5,4,3,3,2,4,4,4,5,3,4,3,4,3.41666666666667,2.75,3.91666666666667,3.75,3.66666666666667
"AN09RO",3,1,4,4,2,3,4,5,3,2,2,2,5,4,4,4,4,4,3,4,2,2,4,2,2,4,2,3,4,2,4,2,4,3,4,4,3,5,3,4,4,2,5,4,2,4,2,5,4,3,3,2,5,3,4,4,2,5,3,3,3.41666666666667,2.33333333333333,4.5,3.33333333333333,3
"CR08LR",2,2,4,4,5,3,4,4,5,5,4,4,3,4,2,3,4,3,4,4,4,1,1,4,4,4,2,1,2,4,4,3,4,4,4,3,4,5,4,5,2,1,1,2,5,5,3,3,4,4,3,3,4,4,5,1,2,1,5,3,3.16666666666667,2.75,2.83333333333333,3.83333333333333,4.16666666666667
"AN02XX",5,3,2,4,5,1,4,3,3,5,1,4,3,5,1,2,4,3,4,5,1,4,2,5,5,1,2,4,3,4,2,3,4,4,5,2,4,5,5,5,1,3,4,4,5,2,2,3,3,5,1,4,4,3,5,2,3,3,4,4,1.75,3.33333333333333,3.33333333333333,3.91666666666667,4.5
"BA03RG",4,3,2,4,5,3,4,5,5,5,3,4,2,5,4,3,3,5,5,5,2,2,4,4,4,2,3,2,5,4,3,3,5,4,4,2,4,4,5,5,2,3,4,4,5,2,2,2,5,5,3,3,4,3,5,4,3,2,5,4,2.75,3.08333333333333,3.41666666666667,4.5,4.58333333333333
"EK01GO",3,4,1,5,5,3,2,1,5,4,4,3,5,2,4,3,4,5,5,5,4,2,4,3,3,2,4,5,4,3,3,3,3,5,4,2,3,5,5,5,2,3,3,3,5,2,3,4,4,4,2,4,5,4,5,2,2,5,5,4,2.66666666666667,3.08333333333333,3.83333333333333,4.16666666666667,4.25
"MR03TO",3,3,4,3,4,3,3,5,4,3,2,2,4,4,4,1,5,4,3,4,3,4,3,3,4,2,3,2,3,2,3,4,4,5,4,3,5,3,4,4,2,2,3,4,3,2,3,4,4,4,2,5,4,2,5,3,2,4,4,4,2.41666666666667,3.41666666666667,3.66666666666667,3.58333333333333,3.75
"SL03TO",4,2,4,4,4,2,1,5,5,4,2,1,2,5,3,5,2,5,4,5,1,1,5,1,2,5,2,2,1,5,2,1,5,3,2,4,1,5,2,5,4,1,5,2,5,5,4,4,5,4,1,2,5,1,4,5,4,5,2,4,3.33333333333333,1.83333333333333,4.33333333333333,2.91666666666667,3.91666666666667
"PT09MS",4,2,5,5,4,4,5,5,5,3,5,2,5,4,2,4,3,5,5,5,5,2,5,4,4,5,1,2,5,2,5,2,5,5,5,2,3,5,5,5,4,2,5,4,5,5,4,5,5,5,4,4,5,5,4,5,3,5,4,5,4.33333333333333,2.75,4.75,4.66666666666667,4.08333333333333
"AG06DE",1,2,2,4,2,3,2,4,4,4,4,3,4,5,2,2,4,3,4,4,4,3,4,4,4,4,3,4,4,2,4,3,4,4,4,3,3,4,4,4,2,3,4,3,4,4,2,5,4,4,5,3,4,3,2,5,2,4,4,2,3.41666666666667,2.75,3.83333333333333,3.91666666666667,3.16666666666667
"EI11CR",2,1,2,5,3,4,1,5,2,2,4,5,4,5,5,4,1,5,2,5,4,1,4,2,2,5,1,4,3,2,4,1,5,3,4,3,1,5,4,5,2,1,1,1,5,5,4,5,4,4,3,4,4,2,1,5,1,5,4,5,3.75,1.83333333333333,4.08333333333333,3.08333333333333,3.58333333333333
"KT04MT",1,3,4,5,4,2,5,5,2,5,4,5,5,4,4,2,5,5,4,5,2,2,4,5,5,3,3,4,3,3,2,4,5,5,5,1,5,4,4,5,1,5,5,4,5,1,3,5,5,5,1,4,5,3,5,4,3,5,4,4,2,3.91666666666667,4.66666666666667,4,4.58333333333333
"TR27LS",5,2,3,4,NA,1,4,4,2,4,5,5,4,4,3,4,4,3,2,5,2,2,4,2,4,2,1,5,1,3,5,3,5,3,4,3,4,4,5,5,4,3,4,2,5,4,4,5,4,4,2,4,4,1,5,5,2,4,4,4,3.5,3.16666666666667,4.08333333333333,2.83333333333333,4.18181818181818
"SL06GR",3,2,3,4,3,3,4,4,4,2,2,4,2,5,4,4,3,4,4,3,2,2,2,4,3,2,3,2,4,2,4,2,4,3,3,3,3,4,4,4,2,4,3,4,2,4,2,5,4,3,1,4,3,4,5,3,2,2,4,3,2.75,2.91666666666667,3.16666666666667,4,3.08333333333333
"JD08AD",2,4,2,4,4,1,4,2,5,5,3,5,4,5,5,2,4,3,4,5,3,2,2,2,5,1,4,5,2,5,3,3,4,4,5,2,4,4,5,5,2,2,2,4,5,3,4,2,5,4,1,4,5,1,5,4,1,3,5,4,2.25,3.41666666666667,3.16666666666667,3.83333333333333,4.75
"SN07SR",3,3,5,4,3,2,2,4,3,4,3,5,4,4,4,2,4,3,4,5,2,2,4,4,4,2,2,4,4,4,4,4,4,4,5,3,4,3,4,4,2,4,4,2,4,2,3,4,4,4,2,3,4,3,5,3,2,3,4,3,2.5,3.16666666666667,3.83333333333333,3.66666666666667,4.08333333333333
"SS12GA",1,4,3,4,4,3,4,4,5,4,2,2,2,5,4,4,4,2,5,5,2,2,2,5,3,4,2,2,2,2,4,1,4,4,4,2,2,5,5,4,1,2,1,3,5,5,NA,5,4,4,4,4,4,5,4,1,2,4,5,2,2.75,2.63636363636364,3.16666666666667,4.33333333333333,3.75
"OG01SR",4,4,5,5,5,2,5,5,5,4,5,5,5,5,3,2,5,5,4,5,4,2,5,3,4,1,1,2,2,4,5,3,5,5,5,2,5,3,5,5,3,3,5,4,4,2,1,5,5,5,3,2,5,5,5,4,2,5,5,4,3.08333333333333,3.16666666666667,4.58333333333333,4.41666666666667,4.41666666666667
"AD06KA",5,4,3,5,5,4,4,1,4,5,5,4,1,5,1,3,5,5,1,5,4,1,3,2,5,5,2,1,3,5,4,1,3,5,5,2,3,4,5,5,4,3,1,3,5,4,5,4,5,5,5,5,5,4,5,4,4,1,5,5,4.08333333333333,3.41666666666667,2.66666666666667,3.91666666666667,4.66666666666667
"MR01DM",4,2,5,5,5,3,4,5,4,5,2,3,5,5,5,3,4,4,4,5,4,2,5,2,4,4,2,5,3,4,4,3,4,5,4,2,3,5,2,5,2,4,5,2,5,4,3,5,4,5,2,4,5,4,5,5,3,5,2,5,3.25,3.08333333333333,4.83333333333333,3.5,4.75
"AJ11OA",4,1,2,5,5,3,3,2,5,5,5,3,1,5,5,3,3,4,2,5,4,2,3,3,5,2,1,4,3,5,4,3,5,3,5,3,3,3,4,5,1,4,3,4,5,3,2,2,5,5,2,5,5,5,5,5,1,3,5,5,3.25,2.58333333333333,3.08333333333333,4.08333333333333,5
"MR06WL",3,3,3,3,2,4,3,4,4,2,3,4,2,4,5,4,4,4,3,3,4,3,3,3,4,3,2,3,1,3,4,4,4,4,4,2,3,4,4,3,2,4,3,4,4,4,3,5,2,3,2,4,3,4,4,1,3,3,4,4,3,3.33333333333333,3.41666666666667,3.33333333333333,3.41666666666667
"RU04PT",3,4,4,4,2,4,4,5,5,1,3,1,3,4,4,5,4,4,5,4,4,2,1,3,3,5,3,1,4,2,4,1,4,5,3,3,2,5,5,4,4,2,2,2,4,5,4,5,4,3,4,1,4,4,3,4,3,5,4,3,4,2.58333333333333,3.58333333333333,4.08333333333333,3
"TN10PS",4,4,4,5,4,1,4,5,2,4,1,5,5,4,2,2,5,5,2,4,4,4,5,2,5,1,2,5,2,4,5,4,5,5,5,5,5,4,4,5,1,5,5,3,2,4,2,5,5,5,2,2,5,2,4,4,1,5,2,4,2.83333333333333,3.58333333333333,4.83333333333333,3.16666666666667,4
"SM02RU",4,3,5,4,3,2,4,4,5,2,4,4,5,5,4,2,4,4,4,4,2,3,5,5,3,1,2,4,4,1,3,2,5,4,4,3,3,5,5,4,2,5,5,3,4,3,2,5,4,4,1,3,4,4,5,3,2,4,2,3,2.5,3.08333333333333,4.58333333333333,4.08333333333333,3.41666666666667
"FA07OA",1,5,1,5,4,1,3,2,5,5,1,4,3,5,5,2,5,5,5,5,1,3,3,5,4,1,2,3,5,5,1,3,4,5,4,1,4,4,5,5,1,5,2,4,5,2,2,4,4,5,1,5,5,5,5,2,4,2,5,4,1.25,3.75,3.16666666666667,4.83333333333333,4.66666666666667
"NN01SS",4,4,1,5,3,2,5,5,3,4,3,5,5,4,4,3,4,5,4,4,1,3,5,5,3,1,3,4,5,4,2,4,5,4,4,3,5,4,5,4,2,5,5,4,3,4,2,5,4,4,2,4,5,4,5,1,3,5,5,3,2.33333333333333,3.91666666666667,4.5,4.33333333333333,3.75
"GB10TO",4,4,4,5,3,3,4,5,3,4,4,4,5,4,3,2,4,5,4,4,4,3,5,4,3,3,2,4,3,2,4,4,5,4,5,2,4,2,5,5,4,4,5,4,4,2,4,5,5,5,4,5,5,4,4,4,2,5,4,4,3.33333333333333,3.66666666666667,4.58333333333333,4.08333333333333,3.83333333333333
"NT09TO",3,5,4,5,5,2,4,4,4,5,2,5,5,3,5,2,5,4,5,5,2,3,5,5,5,1,4,5,4,5,4,4,4,4,5,1,5,3,5,5,1,5,4,4,5,1,2,4,5,5,2,4,5,4,5,1,3,3,4,4,1.83333333333333,4.08333333333333,4.16666666666667,4.33333333333333,4.91666666666667
"DR11KA",2,4,4,4,4,2,3,5,5,2,4,3,4,5,4,2,4,5,5,4,2,3,3,4,3,2,2,5,4,2,3,4,4,4,4,2,4,5,5,4,1,4,4,3,4,3,2,5,4,4,3,4,4,4,5,4,1,5,5,4,2.5,3.16666666666667,4.41666666666667,4.33333333333333,3.66666666666667
"HI09HR",4,4,3,4,4,3,2,2,4,4,3,4,2,3,4,3,4,4,3,5,2,3,2,3,4,3,2,5,2,3,4,2,4,4,4,3,4,4,4,4,2,3,2,3,3,3,2,2,4,4,3,4,4,3,5,3,3,3,3,4,3,3.08333333333333,3.08333333333333,3.33333333333333,4
"FA12CR",2,3,3,4,4,4,4,4,4,5,4,4,3,5,4,3,4,3,4,4,4,3,2,4,4,2,2,3,4,4,3,3,4,4,4,2,4,5,5,5,3,4,2,3,5,3,4,4,4,4,3,5,4,4,4,3,4,3,5,4,3,3.66666666666667,3.33333333333333,4.16666666666667,4.25
"SS12DR",4,3,2,4,4,3,4,2,5,4,2,NA,2,5,3,2,3,2,4,4,4,2,2,4,4,2,2,4,3,2,3,2,2,4,4,2,3,4,3,5,2,3,1,2,4,2,2,2,4,4,2,3,4,4,5,2,3,2,5,3,2.5,2.72727272727273,2.41666666666667,3.91666666666667,3.83333333333333
"CR10TO",3,4,5,3,4,3,3,5,3,2,3,3,4,2,4,4,4,3,2,4,4,4,2,3,4,4,2,4,4,2,3,4,5,5,4,4,4,2,4,4,2,3,4,3,2,4,4,5,2,4,4,5,5,5,4,4,5,4,2,2,3.5,3.75,4,3.16666666666667,3.33333333333333
"LD11VK",3,2,5,5,4,2,4,5,4,4,2,4,3,5,5,2,4,2,4,5,2,2,4,4,4,1,4,2,3,4,2,4,5,4,4,2,4,5,5,5,NA,4,2,4,4,2,2,4,4,4,1,4,4,4,5,4,1,5,4,3,2.09090909090909,3.25,3.83333333333333,4.16666666666667,4.25
"KR01DS",2,3,3,4,3,2,4,4,4,2,4,3,4,4,2,4,4,4,4,4,2,3,3,3,2,4,2,4,NA,1,3,4,5,4,3,3,3,3,NA,4,4,2,4,4,3,4,4,5,5,3,2,2,2,4,4,4,3,2,3,4,3.16666666666667,3.08333333333333,3.58333333333333,3.9,2.91666666666667
"KR09AE",2,4,4,4,4,2,3,4,5,3,2,4,4,3,5,4,5,5,5,5,2,3,4,4,4,2,4,5,4,2,4,2,3,4,5,3,4,5,3,2,1,4,4,4,2,2,3,5,5,5,2,2,5,4,4,4,3,5,5,4,2.5,3.41666666666667,4.41666666666667,4.16666666666667,3.75
"SM06HN",2,4,4,3,5,2,5,4,2,5,2,2,5,4,5,5,5,5,1,5,5,5,5,4,5,5,5,2,4,5,4,1,5,2,5,5,2,5,2,5,2,4,5,1,4,5,5,4,5,4,1,4,5,1,5,4,5,5,1,5,3.5,3.91666666666667,4.5,2.5,4.83333333333333
"SL09MC",4,2,2,5,5,3,5,5,5,4,4,3,4,3,1,4,4,5,5,5,4,1,5,5,4,2,4,5,5,5,1,4,5,4,5,3,4,5,3,5,2,5,5,4,4,2,5,5,5,5,4,5,5,5,5,5,2,5,5,5,3.16666666666667,3.66666666666667,4.66666666666667,4.5,4.41666666666667
"BT09VL",4,2,4,5,4,4,4,4,4,5,1,5,5,4,5,2,4,5,4,5,2,3,4,5,4,1,3,4,5,4,4,4,5,4,5,1,4,5,5,4,2,4,5,3,4,2,NA,3,5,5,2,4,4,4,5,2,1,3,4,4,2.25,3.45454545454545,4.25,4.33333333333333,4.5
"SM01MR",3,4,2,4,4,1,4,2,5,4,3,2,1,5,4,2,4,3,4,5,3,2,2,5,4,2,3,3,4,3,3,2,3,4,4,2,4,2,5,5,2,4,1,3,4,2,3,2,4,4,2,3,3,3,4,4,2,2,4,3,2.41666666666667,3.08333333333333,2.16666666666667,4.16666666666667,4
"DR07EA",3,2,3,4,2,2,5,4,3,4,3,2,2,4,5,1,3,4,4,5,2,2,3,2,4,2,1,2,3,2,2,2,3,4,2,4,3,5,3,4,4,4,2,2,3,2,3,3,4,4,3,2,4,4,4,4,3,4,3,2,2.66666666666667,2.66666666666667,3.25,3.33333333333333,3.41666666666667
"BT02IG",4,4,4,5,3,4,4,5,5,3,5,3,4,5,2,4,4,4,5,5,5,3,4,5,4,4,4,4,3,1,5,4,4,5,4,3,3,5,5,5,5,3,4,2,5,4,2,5,5,3,3,3,5,4,4,5,2,4,5,5,4.25,3.25,4.33333333333333,4.5,3.66666666666667
"SL06CR",4,2,2,5,5,2,4,5,3,5,5,2,4,4,4,4,3,5,5,4,4,3,4,5,4,5,2,4,2,4,5,1,4,4,4,4,2,3,4,4,3,1,4,2,2,4,5,5,5,4,2,5,5,5,5,5,1,4,5,4,3.91666666666667,2.58333333333333,4.08333333333333,4.08333333333333,4.08333333333333
"GB06JH",4,3,4,5,4,2,5,5,5,4,4,5,5,5,4,5,4,5,3,5,1,1,5,4,4,1,2,4,1,3,5,3,5,5,5,2,5,2,5,5,2,5,5,5,5,5,3,5,5,5,2,4,4,4,5,1,1,5,4,5,2.83333333333333,3.41666666666667,4.5,4.25,4.5
"AN01TO",2,2,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,2,2,4,4,3,2,3,3,4,3,2,2,4,4,4,2,4,5,5,5,2,4,4,2,5,3,2,4,5,5,2,2,5,4,4,3,2,5,4,4,2.5,2.75,4.16666666666667,4,4.08333333333333
"AE08TO",4,2,5,5,4,4,5,5,5,3,5,4,4,4,1,5,5,5,4,5,5,2,4,4,4,5,4,3,5,5,3,5,4,3,5,1,4,5,5,5,5,5,4,5,4,5,3,5,5,4,5,2,5,5,4,4,3,5,4,5,4.25,3.66666666666667,4.5,4.5,4.08333333333333
"SE06HL",3,4,4,4,3,2,2,3,4,4,1,4,2,4,5,1,5,4,3,4,4,5,2,2,4,1,4,3,4,2,4,2,4,4,3,2,4,1,5,5,2,3,1,5,3,1,2,2,4,4,2,3,5,4,4,5,5,2,2,3,2.33333333333333,3.58333333333333,2.75,3.75,3.66666666666667
"UE06UR",2,4,5,5,2,2,5,5,4,4,2,2,4,4,4,2,5,3,5,5,4,2,4,4,4,1,4,2,4,2,2,2,5,4,5,2,4,5,5,5,4,5,4,2,4,2,4,5,5,4,4,4,4,4,4,4,4,4,2,4,2.58333333333333,3.75,4.16666666666667,4,3.91666666666667
"CA06FI",2,3,2,4,1,2,5,4,5,1,4,3,4,4,3,2,5,4,3,4,2,4,5,4,1,5,3,2,5,1,4,1,4,4,1,2,4,5,2,1,4,2,4,4,1,4,1,3,3,1,4,1,5,2,1,5,3,3,4,2,3.33333333333333,2.91666666666667,3.75,3.66666666666667,1.5
"AN10JR",5,4,3,4,3,2,4,4,4,2,2,2,4,3,4,2,4,3,3,3,2,4,4,4,4,2,3,4,4,3,2,4,4,4,3,2,4,4,3,4,2,5,2,4,4,2,3,4,3,3,2,4,4,2,4,2,4,3,2,3,2.25,3.75,3.58333333333333,3.33333333333333,3.33333333333333
"MC11DT",4,4,4,5,5,2,4,3,5,4,4,3,2,5,5,2,5,3,5,5,2,3,4,5,4,2,4,4,5,5,4,3,5,4,5,2,4,3,5,5,1,4,3,4,5,4,2,5,4,5,2,4,4,5,5,2,2,2,4,4,2.58333333333333,3.5,3.5,4.66666666666667,4.75
"UA12TO",2,3,2,5,4,2,4,4,4,4,2,3,4,3,4,3,4,5,4,4,2,3,5,4,3,1,2,2,4,3,2,2,4,4,4,2,4,5,4,4,2,4,4,4,3,3,2,2,2,4,2,4,4,3,5,2,2,4,4,2,2.08333333333333,3.08333333333333,3.75,3.75,3.66666666666667
"II08ER",4,2,4,3,5,2,4,5,3,3,4,2,5,1,4,5,3,4,2,4,4,4,4,2,4,4,2,1,2,2,4,3,4,4,4,5,3,5,2,5,4,1,4,2,4,5,4,5,3,3,5,4,4,1,4,5,3,4,2,4,4.25,2.91666666666667,4.08333333333333,2.25,3.83333333333333
"DR10AD",4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,2,3,4,4,3,2,4,4,4,4,2,4,4,4,4,2,4,4,2,4,2,2,4,4,4,2,4,4,4,4,3,2,4,3,4,2.66666666666667,3.41666666666667,4,3.66666666666667,3.91666666666667
"DN01SE",2,NA,4,5,4,3,4,3,4,4,2,4,3,4,5,1,4,2,5,5,2,2,3,2,5,3,2,5,2,4,1,4,3,4,4,1,4,3,3,5,2,4,4,4,4,1,2,5,5,4,2,4,4,3,3,4,3,4,2,4,2,3.36363636363636,3.58333333333333,3.58333333333333,4.25
"BT08RL",3,4,4,5,5,3,3,2,2,4,5,5,3,2,3,4,3,4,4,5,5,4,3,3,5,5,2,2,3,4,3,4,4,5,5,4,4,5,4,4,4,3,3,4,3,4,5,3,5,5,3,5,5,4,5,4,3,3,4,5,3.91666666666667,3.75,3.41666666666667,3.75,4.41666666666667
"AD09HL",4,5,2,5,4,2,4,1,5,2,5,4,1,4,4,1,4,2,5,5,3,1,1,2,4,1,3,2,2,1,2,3,4,4,4,3,4,3,5,5,2,2,1,3,5,2,4,1,5,4,2,4,3,2,5,5,1,1,5,4,2.66666666666667,3.25,1.83333333333333,3.91666666666667,3.91666666666667
"AN02DE",2,4,3,5,3,2,4,4,5,4,2,3,3,5,4,1,5,3,5,4,3,4,4,4,4,3,3,4,4,3,2,3,5,4,4,3,5,1,4,4,2,5,5,4,2,2,3,5,5,4,3,3,5,4,2,4,4,4,4,3,2.41666666666667,3.83333333333333,3.83333333333333,4.41666666666667,3.41666666666667
"SS01OI",4,3,4,4,4,2,5,4,4,5,4,3,4,4,4,4,4,3,5,5,4,2,4,3,4,2,3,2,2,4,4,2,4,4,5,4,4,4,5,5,1,4,4,4,4,4,3,4,5,4,3,3,5,4,5,4,3,4,4,2,3.33333333333333,3.25,3.83333333333333,4,4.25
