"vpncode","nlt_1","nlt_2","nlt_3","nlt_4","nlt_5","nlt_6","nlt_7","nlt_8","nlt_9","nlt_10","nlt_11","nlt_12","nlt_13","nlt_14","nlt_15","nlt_16","nlt_17","nlt_18","nlt_19","nlt_20","nlt_21","nlt_22","nlt_23","nlt_24","nlt_25","nlt_26","initial","nlt_1_noni","nlt_2_noni","nlt_3_noni","nlt_4_noni","nlt_5_noni","nlt_6_noni","nlt_7_noni","nlt_8_noni","nlt_9_noni","nlt_10_noni","nlt_11_noni","nlt_12_noni","nlt_13_noni","nlt_14_noni","nlt_15_noni","nlt_16_noni","nlt_17_noni","nlt_18_noni","nlt_19_noni","nlt_20_noni","nlt_21_noni","nlt_22_noni","nlt_23_noni","nlt_24_noni","nlt_25_noni","nlt_26_noni","initial_r","initial_r1","initial_r2","initial_r3","initial_r4","mean_noni","nlt_1_sub","nlt_2_sub","nlt_3_sub","nlt_4_sub","nlt_5_sub","nlt_6_sub","nlt_7_sub","nlt_8_sub","nlt_9_sub","nlt_10_sub","nlt_11_sub","nlt_12_sub","nlt_13_sub","nlt_14_sub","nlt_15_sub","nlt_16_sub","nlt_17_sub","nlt_18_sub","nlt_19_sub","nlt_20_sub","nlt_21_sub","nlt_22_sub","nlt_23_sub","nlt_24_sub","nlt_25_sub","nlt_26_sub","ipf1","ipf2","ipf3","ipf4","ipf5","score"
"HL03PT",4,4,3,3,2,2,1,5,4,3,3,5,5,3,4,5,1,3,4,2,3,1,5,2,1,1,"LW",4,4,3,3,2,2,1,5,4,3,3,5,5,3,4,5,1,3,4,2,3,1,NA,2,1,1,"LW","L","W","","",2.96,1.04,1.04,0.04,0.04,-0.96,-0.96,-1.96,2.04,1.04,0.04,0.04,2.04,2.04,0.04,1.04,2.04,-1.96,0.04,1.04,-0.96,0.04,-1.96,2.04,-0.96,-1.96,-1.96,4.73536550406116,5.18878165312948,NA,NA,NA,4.96207357859532
"AE03TO",4,4,2,2,3,2,2,4,2,2,2,4,5,2,2,1,1,2,4,2,2,3,2,4,4,4,"MR",4,4,2,2,3,2,2,4,2,2,2,4,5,2,2,1,1,NA,4,2,2,3,2,4,4,4,"MR","M","R","","",2.76,1.24,1.24,-0.76,-0.76,0.24,-0.76,-0.76,1.24,-0.76,-0.76,-0.76,1.24,2.24,-0.76,-0.76,-1.76,-1.76,-0.76,1.24,-0.76,-0.76,0.24,-0.76,1.24,1.24,1.24,4.03350215002389,2.1949928332537,NA,NA,NA,3.1142474916388
"SS09JH",2,4,4,4,3,3,2,3,2,3,1,3,2,3,1,3,1,2,4,4,3,2,2,1,1,3,"L L",2,4,4,4,3,3,2,3,2,3,1,NA,2,3,1,3,1,2,4,4,3,2,2,1,1,3,"LL","L","L","","",2.52,-0.52,1.48,1.48,1.48,0.48,0.48,-0.52,0.48,-0.52,0.48,-1.52,0.48,-0.52,0.48,-1.52,0.48,-1.52,-0.52,1.48,1.48,0.48,-0.52,-0.52,-1.52,-1.52,0.48,2.73536550406116,2.73536550406116,NA,NA,NA,2.73536550406116
"JN06AM",4,4,2,3,2,2,2,2,4,4,3,2,4,3,4,4,2,2,2,2,3,2,4,2,2,2,"JMW",4,4,2,3,2,2,2,2,4,4,3,2,4,3,4,4,2,2,2,2,3,2,NA,2,2,2,"JMW","J","M","W","",2.72,1.28,1.28,-0.72,0.28,-0.72,-0.72,-0.72,-0.72,1.28,1.28,0.28,-0.72,1.28,0.28,1.28,1.28,-0.72,-0.72,-0.72,-0.72,0.28,-0.72,1.28,-0.72,-0.72,-0.72,3.99623506927855,3.03350215002389,4.18878165312948,NA,NA,3.73950629081064
"HI05MR",4,4,3,4,2,2,4,3,4,4,2,4,2,3,3,2,1,1,2,1,3,1,2,3,1,2,"JH",4,4,3,4,2,2,4,NA,4,4,2,4,2,3,3,2,1,1,2,1,3,1,2,3,1,2,"JH","J","H","","",2.56,1.44,1.44,0.44,1.44,-0.56,-0.56,1.44,0.44,1.44,1.44,-0.56,1.44,-0.56,0.44,0.44,-0.56,-1.56,-1.56,-0.56,-1.56,0.44,-1.56,-0.56,0.44,-1.56,-0.56,3.99623506927855,3.05213569039656,NA,NA,NA,3.52418537983755
"OA03VL",4,2,2,4,2,1,4,5,3,1,2,5,4,2,4,4,5,4,3,2,3,3,4,5,4,3,"NR",4,2,2,4,2,1,4,5,3,1,2,5,4,2,4,4,5,NA,3,2,3,3,4,5,4,3,"NR","N","R","","",3.24,0.76,-1.24,-1.24,0.76,-1.24,-2.24,0.76,1.76,-0.24,-2.24,-1.24,1.76,0.76,-1.24,0.76,0.76,1.76,0.76,-0.24,-1.24,-0.24,-0.24,0.76,1.76,0.76,-0.24,1.69809842331581,4.1949928332537,NA,NA,NA,2.94654562828476
"JS08VC",5,4,2,3,4,3,2,2,3,2,3,4,5,5,2,3,1,3,5,2,1,1,1,1,1,1,"EDBM",5,4,2,3,4,3,2,2,3,2,3,4,NA,5,2,3,1,3,5,2,1,1,1,1,1,1,"EDBM","E","D","B","M",2.56,2.44,1.44,-0.56,0.44,1.44,0.44,-0.56,-0.56,0.44,-0.56,0.44,1.44,2.44,2.44,-0.56,0.44,-1.56,0.44,2.44,-0.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,3.77884376493072,2.79126612517917,3.73536550406116,4.03350215002389,NA,3.58474438604873
"JD01HR",5,4,4,4,4,1,2,3,1,2,1,4,5,1,5,3,3,5,2,5,4,5,5,3,5,5,"VM",5,4,4,4,4,1,2,3,1,2,1,4,NA,1,5,3,3,5,2,5,4,5,5,3,5,5,"VM","V","M","","",3.44,1.56,0.56,0.56,0.56,0.56,-2.44,-1.44,-0.44,-2.44,-1.44,-2.44,0.56,1.56,-2.44,1.56,-0.44,-0.44,1.56,-1.44,1.56,0.56,1.56,1.56,-0.44,1.56,1.56,5.36269469660774,4.03350215002389,NA,NA,NA,4.69809842331581
"IS02AE",4,3,5,3,2,1,1,2,3,4,1,5,4,5,5,2,1,3,5,5,4,4,2,3,5,4,"NB",4,NA,5,3,2,1,1,2,3,4,1,5,4,5,5,2,1,3,5,5,4,4,2,3,5,4,"NB","N","B","","",3.32,0.68,-0.32,1.68,-0.32,-1.32,-2.32,-2.32,-1.32,-0.32,0.68,-2.32,1.68,0.68,1.68,1.68,-1.32,-2.32,-0.32,1.68,1.68,0.68,0.68,-1.32,-0.32,1.68,0.68,4.69809842331581,2.73536550406116,NA,NA,NA,3.71673196368849
"RG08MR",2,4,3,4,2,2,4,3,1,2,3,2,4,3,4,5,4,4,5,2,2,3,4,3,4,4,"LK",2,4,3,4,2,2,4,3,1,2,NA,2,4,3,4,5,4,4,5,2,2,3,4,3,4,4,"LK","L","K","","",3.2,-1.2,0.8,-0.2,0.8,-1.2,-1.2,0.8,-0.2,-2.2,-1.2,-0.2,-1.2,0.8,-0.2,0.8,1.8,0.8,0.8,1.8,-1.2,-1.2,-0.2,0.8,-0.2,0.8,0.8,1.73536550406116,3.1142474916388,NA,NA,NA,2.42480649784998
"AD09DR",2,4,2,4,3,2,3,3,2,2,4,4,5,5,2,4,1,2,4,1,3,2,2,2,2,3,"M.L.W.",2,4,2,4,3,2,3,3,2,2,4,4,5,5,2,4,1,2,4,1,3,2,NA,2,2,3,"MLW","M","L","W","",2.84,-0.84,1.16,-0.84,1.16,0.16,-0.84,0.16,0.16,-0.84,-0.84,1.16,1.16,2.16,2.16,-0.84,1.16,-1.84,-0.84,1.16,-1.84,0.16,-0.84,-0.84,-0.84,-0.84,0.16,4.03350215002389,3.73536550406116,2.18878165312948,NA,NA,3.31921643573817
"SS05HR",2,3,3,3,2,1,1,2,4,3,1,2,2,4,4,3,2,2,4,3,4,2,1,2,4,4,"SF",2,3,3,3,2,NA,1,2,4,3,1,2,2,4,4,3,2,2,4,3,4,2,1,2,4,4,"SF","S","F","","",2.68,-0.68,0.32,0.32,0.32,-0.68,-1.68,-1.68,-0.68,1.32,0.32,-1.68,-0.68,-0.68,1.32,1.32,0.32,-0.68,-0.68,1.32,0.32,1.32,-0.68,-1.68,-0.68,1.32,1.32,3.24468227424749,1.39996177735308,NA,NA,NA,2.32232202580029
"NE01TH",5,5,1,1,5,4,5,4,1,5,5,2,2,2,1,1,1,1,4,1,1,1,1,1,1,1,"A,N",5,5,1,1,5,4,5,4,1,5,5,2,2,NA,1,1,1,1,4,1,1,1,1,1,1,1,"AN","A","N","","",2.4,2.6,2.6,-1.4,-1.4,2.6,1.6,2.6,1.6,-1.4,2.6,2.6,-0.4,-0.4,-0.4,-1.4,-1.4,-1.4,-1.4,1.6,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,4.13288103201147,1.69809842331581,NA,NA,NA,2.91548972766364
"JH12MR",3,4,4,3,4,3,5,3,3,5,2,2,4,2,5,4,2,1,5,4,3,1,2,1,1,2,"PN",3,4,4,3,4,3,5,3,3,5,2,2,4,NA,5,4,2,1,5,4,3,1,2,1,1,2,"PN","P","N","","",3.04,-0.04,0.96,0.96,-0.04,0.96,-0.04,1.96,-0.04,-0.04,1.96,-1.04,-1.04,0.96,-1.04,1.96,0.96,-1.04,-2.04,1.96,0.96,-0.04,-2.04,-1.04,-2.04,-2.04,-1.04,4.10803631151457,1.69809842331581,NA,NA,NA,2.90306736741519
"IG03RM",3,4,2,3,2,2,1,2,3,4,3,4,4,3,2,1,1,1,3,3,3,2,1,1,1,2,"JA",NA,4,2,3,2,2,1,2,3,4,3,4,4,3,2,1,1,1,3,3,3,2,1,1,1,2,"JA","J","A","","",2.32,0.68,1.68,-0.32,0.68,-0.32,-0.32,-1.32,-0.32,0.68,1.68,0.68,1.68,1.68,0.68,-0.32,-1.32,-1.32,-1.32,0.68,0.68,0.68,-0.32,-1.32,-1.32,-1.32,-0.32,3.99623506927855,2.13288103201147,NA,NA,NA,3.06455805064501
"AN07DR",1,3,2,3,1,3,2,1,2,2,1,1,3,3,4,3,3,4,4,4,3,4,4,5,4,5,"D.J.B.",1,NA,2,3,1,3,2,1,2,2,1,1,3,3,4,3,3,4,4,4,3,4,4,5,4,5,"DJB","D","J","B","",2.88,-1.88,0.12,-0.88,0.12,-1.88,0.12,-0.88,-1.88,-0.88,-0.88,-1.88,-1.88,0.12,0.12,1.12,0.12,0.12,1.12,1.12,1.12,0.12,1.12,1.12,2.12,1.12,2.12,2.79126612517917,1.99623506927855,2.73536550406116,NA,NA,2.50762223283962
"UR12TR",3,1,3,2,4,4,2,2,3,5,2,5,5,5,1,4,1,4,4,4,2,4,2,2,4,3,"CB",3,NA,3,2,4,4,2,2,3,5,2,5,5,5,1,4,1,4,4,4,2,4,2,2,4,3,"CB","C","B","","",3.2,-0.2,-2.2,-0.2,-1.2,0.8,0.8,-1.2,-1.2,-0.2,1.8,-1.2,1.8,1.8,1.8,-2.2,0.8,-2.2,0.8,0.8,0.8,-1.2,0.8,-1.2,-1.2,0.8,-0.2,3.18878165312948,0.735365504061156,NA,NA,NA,1.96207357859532
"BR12TO",5,5,5,3,4,3,3,3,1,1,4,2,5,2,3,2,2,4,2,4,2,2,4,2,3,4,"AKB",5,NA,5,3,4,3,3,3,1,1,4,2,5,2,3,2,2,4,2,4,2,2,4,2,3,4,"AKB","A","K","B","",3,2,2,2,0,1,0,0,0,-2,-2,1,-1,2,-1,0,-1,-1,1,-1,1,-1,-1,1,-1,0,1,4.13288103201147,4.1142474916388,4.73536550406116,NA,NA,4.32749800923714
"HL20VK",4,5,4,3,2,2,4,2,3,4,2,2,2,2,3,4,4,4,5,4,5,3,3,5,4,5,"BMS",4,5,4,3,2,2,4,2,3,4,2,2,2,2,3,4,4,4,NA,4,5,3,3,5,4,5,"BMS","B","M","S","",3.4,0.6,1.6,0.6,-0.4,-1.4,-1.4,0.6,-1.4,-0.4,0.6,-1.4,-1.4,-1.4,-1.4,-0.4,0.6,0.6,0.6,1.6,0.6,1.6,-0.4,-0.4,1.6,0.6,1.6,4.73536550406116,1.03350215002389,4.24468227424749,NA,NA,3.33784997611085
"LC09FN",4,3,2,3,3,4,1,2,1,1,4,3,4,4,5,2,2,4,2,2,1,1,2,2,3,4,"KB",4,NA,2,3,3,4,1,2,1,1,4,3,4,4,5,2,2,4,2,2,1,1,2,2,3,4,"KB","K","B","","",2.64,1.36,0.36,-0.64,0.36,0.36,1.36,-1.64,-0.64,-1.64,-1.64,1.36,0.36,1.36,1.36,2.36,-0.64,-0.64,1.36,-0.64,-0.64,-1.64,-1.64,-0.64,-0.64,0.36,1.36,4.1142474916388,2.73536550406116,NA,NA,NA,3.42480649784998
"RO12MA",4,3,2,3,4,4,3,1,4,2,4,4,5,3,4,5,5,5,5,5,4,2,3,5,4,4,"TA",NA,3,2,3,4,4,3,1,4,2,4,4,5,3,4,5,5,5,5,5,4,2,3,5,4,4,"TA","T","A","","",3.72,0.28,-0.72,-1.72,-0.72,0.28,0.28,-0.72,-2.72,0.28,-1.72,0.28,0.28,1.28,-0.72,0.28,1.28,1.28,1.28,1.28,1.28,0.28,-1.72,-0.72,1.28,0.28,0.28,5.13909221213569,3.13288103201147,NA,NA,NA,4.13598662207358
"IN08OE",4,4,3,4,4,4,5,2,4,1,4,4,5,4,4,4,3,4,5,4,3,3,4,4,2,4,"MC",4,4,NA,4,4,4,5,2,4,1,4,4,5,4,4,4,3,4,5,4,3,3,4,4,2,4,"MC","M","C","","",3.72,0.28,0.28,-0.72,0.28,0.28,0.28,1.28,-1.72,0.28,-2.72,0.28,0.28,1.28,0.28,0.28,0.28,-0.72,0.28,1.28,0.28,-0.72,-0.72,0.28,0.28,-1.72,0.28,4.03350215002389,3.18878165312948,NA,NA,NA,3.61114190157668
"GL07NB",5,4,2,3,3,2,2,1,4,5,3,5,5,3,2,1,1,1,5,4,1,1,1,1,1,2,"E A",NA,4,2,3,3,2,2,1,4,5,3,5,5,3,2,1,1,1,5,4,1,1,1,1,1,2,"EA","E","A","","",2.52,2.48,1.48,-0.52,0.48,0.48,-0.52,-0.52,-1.52,1.48,2.48,0.48,2.48,2.48,0.48,-0.52,-1.52,-1.52,-1.52,2.48,1.48,-1.52,-1.52,-1.52,-1.52,-1.52,-0.52,2.77884376493072,4.13288103201147,NA,NA,NA,3.45586239847109
"DN12MS",4,2,1,2,5,2,4,3,4,1,5,4,4,2,5,4,1,5,4,2,4,2,1,5,4,2,"EKÃ–",4,2,1,2,5,2,4,3,4,1,NA,4,4,2,5,4,1,5,4,2,4,2,1,5,4,2,"EK","E","K","","",3.08,0.92,-1.08,-2.08,-1.08,1.92,-1.08,0.92,-0.0800000000000001,0.92,-2.08,1.92,0.92,0.92,-1.08,1.92,0.92,-2.08,1.92,0.92,-1.08,0.92,-1.08,-2.08,1.92,0.92,-1.08,4.77884376493072,5.1142474916388,NA,NA,NA,4.94654562828476
"KR12RL",4,3,2,3,3,4,2,3,3,4,2,3,0,4,3,3,2,3,4,4,3,2,4,3,3,3,"MS",4,3,2,3,3,4,2,3,3,4,2,3,0,4,3,3,2,3,NA,4,3,2,4,3,3,3,"MS","M","S","","",2.92,1.08,0.0800000000000001,-0.92,0.0800000000000001,0.0800000000000001,1.08,-0.92,0.0800000000000001,0.0800000000000001,1.08,-0.92,0.0800000000000001,-2.92,1.08,0.0800000000000001,0.0800000000000001,-0.92,0.0800000000000001,1.08,1.08,0.0800000000000001,-0.92,1.08,0.0800000000000001,0.0800000000000001,0.0800000000000001,-0.966497849976111,3.24468227424749,NA,NA,NA,1.13909221213569
"SM11RC",4,5,1,1,4,4,2,2,1,1,2,1,5,4,1,1,1,3,2,1,1,1,1,4,4,5,"md",4,5,1,NA,4,4,2,2,1,1,2,1,5,4,1,1,1,3,2,1,1,1,1,4,4,5,"MD","M","D","","",2.44,1.56,2.56,-1.44,-1.44,1.56,1.56,-0.44,-0.44,-1.44,-1.44,-0.44,-1.44,2.56,1.56,-1.44,-1.44,-1.44,0.56,-0.44,-1.44,-1.44,-1.44,-1.44,1.56,1.56,2.56,4.03350215002389,0.791266125179169,NA,NA,NA,2.41238413760153
"GL09IM",2,3,2,4,2,1,4,2,2,1,3,2,4,4,4,3,2,4,4,2,4,3,3,1,4,3,"OA",NA,3,2,4,2,1,4,2,2,1,3,2,4,4,4,3,2,4,4,2,4,3,3,1,4,3,"OA","O","A","","",2.84,-0.84,0.16,-0.84,1.16,-0.84,-1.84,1.16,-0.84,-0.84,-1.84,0.16,-0.84,1.16,1.16,1.16,0.16,-0.84,1.16,1.16,-0.84,1.16,0.16,0.16,-1.84,1.16,0.16,3.7477878643096,1.13288103201147,NA,NA,NA,2.44033444816053
"BI11WL",5,2,2,3,4,3,1,5,3,1,1,5,3,3,5,4,1,1,5,4,3,4,5,5,1,2,"HLSW",5,2,2,3,4,3,1,5,3,1,1,5,3,3,5,4,1,1,5,4,3,4,NA,5,1,2,"HLSW","H","L","S","W",3.04,1.96,-1.04,-1.04,-0.04,0.96,-0.04,-2.04,1.96,-0.04,-2.04,-2.04,1.96,-0.04,-0.04,1.96,0.96,-2.04,-2.04,1.96,0.96,-0.04,0.96,1.96,1.96,-2.04,-1.04,5.05213569039656,4.73536550406116,4.24468227424749,5.18878165312948,NA,4.80524128045867
"SB08DM",4,4,3,3,4,2,3,3,4,4,4,4,5,5,2,2,1,2,4,4,3,2,2,3,2,3,"MCM",4,4,3,3,4,2,3,3,4,4,4,4,NA,5,2,2,1,2,4,4,3,2,2,3,2,3,"MCM","M","C","M","",3.08,0.92,0.92,-0.0800000000000001,-0.0800000000000001,0.92,-1.08,-0.0800000000000001,-0.0800000000000001,0.92,0.92,0.92,0.92,1.92,1.92,-1.08,-1.08,-2.08,-1.08,0.92,0.92,-0.0800000000000001,-1.08,-1.08,-0.0800000000000001,-1.08,-0.0800000000000001,4.03350215002389,3.18878165312948,4.03350215002389,NA,NA,3.75192865105909
"PG11WL",1,2,3,3,2,2,5,2,1,4,1,1,5,4,1,2,5,1,1,1,1,3,4,5,5,5,"JNK",1,2,3,3,2,2,5,2,1,4,NA,1,5,4,1,2,5,1,1,1,1,3,4,5,5,5,"JNK","J","N","K","",2.76,-1.76,-0.76,0.24,0.24,-0.76,-0.76,2.24,-0.76,-1.76,1.24,-1.76,-1.76,2.24,1.24,-1.76,-0.76,2.24,-1.76,-1.76,-1.76,-1.76,0.24,1.24,2.24,2.24,2.24,3.99623506927855,3.69809842331581,1.1142474916388,NA,NA,2.93619366141105
"HL04MR",4,3,2,2,3,2,5,4,1,5,4,2,4,5,3,3,2,3,5,2,2,3,2,2,4,3,"JH",4,3,2,2,3,2,5,NA,1,5,4,2,4,5,3,3,2,3,5,2,2,3,2,2,4,3,"JH","J","H","","",3.04,0.96,-0.04,-1.04,-1.04,-0.04,-1.04,1.96,0.96,-2.04,1.96,0.96,-1.04,0.96,1.96,-0.04,-0.04,-1.04,-0.04,1.96,-1.04,-1.04,-0.04,-1.04,-1.04,0.96,-0.04,4.99623506927855,4.05213569039656,NA,NA,NA,4.52418537983755
"JN06MR",4,2,1,3,5,2,5,3,1,4,4,3,2,4,1,2,1,4,5,4,2,4,5,3,1,4,"EC",4,2,NA,3,5,2,5,3,1,4,4,3,2,4,1,2,1,4,5,4,2,4,5,3,1,4,"EC","E","C","","",3.12,0.88,-1.12,-2.12,-0.12,1.88,-1.12,1.88,-0.12,-2.12,0.88,0.88,-0.12,-1.12,0.88,-2.12,-1.12,-2.12,0.88,1.88,0.88,-1.12,0.88,1.88,-0.12,-2.12,0.88,4.77884376493072,1.18878165312948,NA,NA,NA,2.9838127090301
"HI06CR",5,4,3,3,5,2,4,4,4,3,4,4,5,4,3,3,4,3,5,3,3,4,3,5,3,5,"NB",5,NA,3,3,5,2,4,4,4,3,4,4,5,4,3,3,4,3,5,3,3,4,3,5,3,5,"NB","N","B","","",3.76,1.24,0.24,-0.76,-0.76,1.24,-1.76,0.24,0.24,0.24,-0.76,0.24,0.24,1.24,0.24,-0.76,-0.76,0.24,-0.76,1.24,-0.76,-0.76,0.24,-0.76,1.24,-0.76,1.24,3.69809842331581,3.73536550406116,NA,NA,NA,3.71673196368849
"SL07PT",5,3,4,5,5,3,4,3,3,4,3,4,5,4,4,3,2,0,4,4,3,4,3,2,2,3,"A M M",5,3,4,5,5,3,4,3,3,4,3,4,NA,4,4,3,2,0,4,4,3,4,3,2,2,3,"AMM","A","M","M","",3.36,1.64,-0.36,0.64,1.64,1.64,-0.36,0.64,-0.36,-0.36,0.64,-0.36,0.64,1.64,0.64,0.64,-0.36,-1.36,-3.36,0.64,0.64,-0.36,0.64,-0.36,-1.36,-1.36,-0.36,4.13288103201147,4.03350215002389,4.03350215002389,NA,NA,4.06662844401975
"MH03GZ",3,5,5,5,1,1,2,5,5,5,1,5,4,4,5,4,1,2,5,4,4,4,1,1,1,3,"R.B.",3,NA,5,5,1,1,2,5,5,5,1,5,4,4,5,4,1,2,5,4,4,4,1,1,1,3,"RB","R","B","","",3.24,-0.24,1.76,1.76,1.76,-2.24,-2.24,-1.24,1.76,1.76,1.76,-2.24,1.76,0.76,0.76,1.76,0.76,-2.24,-1.24,1.76,0.76,0.76,0.76,-2.24,-2.24,-2.24,-0.24,2.1949928332537,4.73536550406116,NA,NA,NA,3.46517916865743
"BR02HR",4,2,4,3,3,2,1,2,4,3,2,4,5,3,5,2,4,3,5,4,3,5,4,3,2,4,"CB",4,NA,4,3,3,2,1,2,4,3,2,4,5,3,5,2,4,3,5,4,3,5,4,3,2,4,"CB","C","B","","",3.36,0.64,-1.36,0.64,-0.36,-0.36,-1.36,-2.36,-1.36,0.64,-0.36,-1.36,0.64,1.64,-0.36,1.64,-1.36,0.64,-0.36,1.64,0.64,-0.36,1.64,0.64,-0.36,-1.36,0.64,4.18878165312948,1.73536550406116,NA,NA,NA,2.96207357859532
"AJ04SE",4,3,4,4,4,3,3,4,4,4,3,5,5,4,3,2,1,1,4,4,1,3,4,3,2,3,"LMV",4,3,4,4,4,3,3,4,4,4,3,5,5,4,3,2,1,1,4,4,1,NA,4,3,2,3,"LMV","L","M","V","",3.28,0.72,-0.28,0.72,0.72,0.72,-0.28,-0.28,0.72,0.72,0.72,-0.28,1.72,1.72,0.72,-0.28,-1.28,-2.28,-2.28,0.72,0.72,-2.28,-0.28,0.72,-0.28,-1.28,-0.28,4.73536550406116,4.03350215002389,3.36269469660774,NA,NA,4.0438541168976
"HI01IG",5,4,2,5,5,2,2,5,4,2,2,4,5,5,5,5,4,5,5,5,5,5,5,4,2,5,"LPD",5,4,2,NA,5,2,2,5,4,2,2,4,5,5,5,5,4,5,5,5,5,5,5,4,2,5,"LPD","L","P","D","",4.08,0.92,-0.0800000000000001,-2.08,0.92,0.92,-2.08,-2.08,0.92,-0.0800000000000001,-2.08,-2.08,-0.0800000000000001,0.92,0.92,0.92,0.92,-0.0800000000000001,0.92,0.92,0.92,0.92,0.92,0.92,-0.0800000000000001,-2.08,0.92,3.73536550406116,5.10803631151457,4.79126612517917,NA,NA,4.54488931358497
"KT12EI",3,4,2,5,4,4,3,3,4,3,2,3,4,4,3,4,2,2,3,4,4,2,2,3,2,2,"MB",3,NA,2,5,4,4,3,3,4,3,2,3,4,4,3,4,2,2,3,4,4,2,2,3,2,2,"MB","M","B","","",3.08,-0.0800000000000001,0.92,-1.08,1.92,0.92,0.92,-0.0800000000000001,-0.0800000000000001,0.92,-0.0800000000000001,-1.08,-0.0800000000000001,0.92,0.92,-0.0800000000000001,0.92,-1.08,-1.08,-0.0800000000000001,0.92,0.92,-1.08,-1.08,-0.0800000000000001,-1.08,-1.08,3.03350215002389,3.73536550406116,NA,NA,NA,3.38443382704252
"KT07HN",4,2,3,4,5,2,4,5,3,4,2,3,4,2,1,3,1,2,2,3,4,2,5,2,4,5,"HKLH",4,2,3,4,5,2,4,NA,3,4,2,3,4,2,1,3,1,2,2,3,4,2,5,2,4,5,"HKLH","H","K","L","H",3.04,0.96,-1.04,-0.04,0.96,1.96,-1.04,0.96,1.96,-0.04,0.96,-1.04,-0.04,0.96,-1.04,-2.04,-0.04,-2.04,-1.04,-1.04,-0.04,0.96,-1.04,1.96,-1.04,0.96,1.96,5.05213569039656,2.1142474916388,2.73536550406116,5.05213569039656,NA,3.73847109412327
"MR02OI",5,5,2,1,2,4,5,2,2,5,4,5,5,5,2,1,5,2,5,2,2,5,2,5,5,5,"SMM ",5,5,2,1,2,4,5,2,2,5,4,5,NA,5,2,1,5,2,5,2,2,5,2,5,5,5,"SMM","S","M","M","",3.52,1.48,1.48,-1.52,-2.52,-1.52,0.48,1.48,-1.52,-1.52,1.48,0.48,1.48,1.48,1.48,-1.52,-2.52,1.48,-1.52,1.48,-1.52,-1.52,1.48,-1.52,1.48,1.48,1.48,4.24468227424749,4.03350215002389,4.03350215002389,NA,NA,4.10389552476509
