"id","npi_1","npi_2","npi_3","npi_4","npi_5","npi_6","npi_7","npi_8","npi_9","npi_10","npi_11","npi_12","npi_13","npi_1r","npi_2r","npi_3r","npi_4r","npi_5r","npi_6r","npi_7r","npi_8r","npi_9r","npi_10r","npi_11r","npi_12r","npi_13r","gnpi_la","gnpi_ge","gnpi_ee","gnpi"
"JD01HR",1,2,2,2,1,2,2,2,1,1,1,1,2,1,0,1,0,0,1,1,1,1,1,1,1,0,0.5,0.8,0.75,0.692307692307692
"BT08EW",1,2,2,2,1,2,2,1,2,2,1,2,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0.5,0.4,0.25,0.384615384615385
"IS02AE",1,2,2,2,1,1,2,1,1,1,2,2,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0.5,0.4,0.5,0.461538461538462
"RG08MR",2,2,2,2,2,1,1,2,2,1,2,2,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0.25,0.4,0.25,0.307692307692308
"AD09DR",1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0.6,0.5,0.692307692307692
"SS05HR",2,2,1,2,1,1,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5,0.153846153846154
"NE01TH",1,2,1,1,1,2,2,1,1,2,2,1,2,1,0,0,1,0,1,1,0,1,0,0,1,0,0.5,0.6,0.25,0.461538461538462
"JH12MR",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IG03RM",2,2,2,2,2,1,1,1,1,2,2,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0.25,0.4,0,0.230769230769231
"AN07DR",1,2,1,2,1,1,1,1,2,1,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0.25,0.153846153846154
"UR12TR",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"BR12TO",1,2,2,2,2,2,2,1,1,2,2,2,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0.5,0.8,0,0.461538461538462
"HL20VK",2,1,2,2,1,1,1,2,1,1,2,2,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0.5,0.4,0.5,0.461538461538462
"LC09FN",2,2,1,2,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,0.0769230769230769
"WB02MC",2,2,1,2,1,2,2,1,2,2,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.4,0.25,0.230769230769231
"RO12MA",1,2,2,2,2,1,1,1,1,1,2,2,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0.5,0.4,0.5,0.461538461538462
"IN08OE",2,2,1,2,2,1,2,1,1,2,1,2,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0.6,0.25,0.307692307692308
"GL07NB",1,2,1,2,1,2,2,1,2,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0.25,0.4,0.25,0.307692307692308
"DN12MS",1,2,1,2,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0.25,0,0.5,0.230769230769231
"KR12RL",2,2,2,2,1,1,1,1,2,1,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0,0.25,0.153846153846154
"SM11RC",1,1,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.5,0.846153846153846
"GL09IM",2,2,1,1,1,1,1,1,1,2,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0.25,0.2,0.5,0.307692307692308
"BI11WL",1,2,2,2,2,2,2,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0.5,0.8,1,0.769230769230769
"SB08DM",1,2,2,2,1,1,1,1,2,1,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0.5,0,0.5,0.307692307692308
"WL09EK",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG11WL",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HL04MR",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"JN06MR",2,1,1,1,1,1,1,1,2,1,2,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0.5,0,0.25,0.230769230769231
"HI06CR",2,2,1,1,2,2,2,1,1,2,2,2,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0.25,0.8,0,0.384615384615385
"SL07PT",1,2,1,2,2,2,2,1,1,2,2,2,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0.25,0.8,0,0.384615384615385
"MH03GZ",2,2,2,2,1,1,1,1,1,1,2,1,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0.25,0.2,0.5,0.307692307692308
"BR02HR",2,2,1,2,1,2,1,1,1,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"AJ04SE",1,2,2,2,1,2,2,1,1,2,1,2,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0.5,0.6,0.5,0.538461538461538
"JS05KR",1,2,2,2,1,1,2,1,1,1,2,2,2,1,0,1,0,0,0,1,0,1,1,0,0,0,0.5,0.4,0.25,0.384615384615385
"EK12AI",1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0.5,0.2,0.25,0.307692307692308
"HI01IG",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"KT12EI",2,2,1,2,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,0.0769230769230769
"KT07HN",2,2,1,2,1,1,2,1,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0.0769230769230769
"MR02OI",2,2,1,2,1,1,1,2,1,2,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.4,0.25,0.230769230769231
"AE11CR",1,2,2,2,1,2,2,2,1,1,2,2,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0.5,0.8,0.5,0.615384615384615
"AI02RB",1,2,1,2,1,2,2,1,1,2,2,2,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0.25,0.6,0,0.307692307692308
"DR09FA",2,1,2,1,2,1,2,1,1,1,2,2,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0.75,0.6,0.5,0.615384615384615
"SS09MR",1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0.75,0.6,0.5,0.615384615384615
"SM11HN",1,2,1,2,1,1,2,1,1,1,2,2,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0.25,0.4,0.5,0.384615384615385
"AE03HN",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJ10AK",2,2,1,2,1,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0.0769230769230769
"BI10DE",2,2,2,2,2,2,2,1,1,2,2,2,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0.25,0.8,0,0.384615384615385
"NT02CR",2,2,1,2,1,2,2,2,2,2,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0.6,0.25,0.307692307692308
"BA01MC",1,2,1,1,1,2,1,1,2,2,1,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0.5,0.2,0.25,0.307692307692308
"AE05TB",1,2,1,1,1,1,1,1,1,1,2,2,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0.5,0.2,0.25,0.307692307692308
"AD06VL",2,2,2,1,1,1,2,1,1,1,2,2,2,0,0,1,1,0,0,1,0,1,1,0,0,0,0.5,0.4,0.25,0.384615384615385
"MC10TO",2,2,1,2,1,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0.0769230769230769
"MR10JR",2,2,1,2,1,2,2,1,1,1,2,2,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0.6,0.5,0.384615384615385
"EK06BR",1,2,1,1,1,2,2,2,1,2,2,2,2,1,0,0,1,0,1,1,1,1,0,0,0,0,0.5,0.8,0,0.461538461538462
"MR07TO",2,2,1,2,1,2,1,1,1,2,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"FT05SY",1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0.4,0.25,0.538461538461538
"MOZ08S",2,2,2,2,1,1,1,2,2,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.25,0.2,0.25,0.230769230769231
"MR09RB",2,2,1,1,1,2,2,1,1,2,2,2,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0.25,0.6,0,0.307692307692308
"SE01DE",1,2,2,2,2,2,2,2,1,1,2,2,2,1,0,1,0,1,1,1,1,1,1,0,0,0,0.5,1,0.25,0.615384615384615
"MR01SE",2,2,1,2,1,1,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.0769230769230769
"CR07HL",2,2,2,1,1,1,1,1,2,2,2,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0.5,0,0.25,0.230769230769231
"KR01WR",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK04WL",2,2,1,1,1,1,1,1,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0.25,0,0.5,0.230769230769231
"MN06CA",1,2,1,2,1,1,2,1,1,2,1,2,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0.25,0.4,0.25,0.307692307692308
"LL08PT",2,2,1,2,2,1,2,1,2,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.4,0,0.153846153846154
"SM03SM",2,2,1,1,1,2,2,1,2,1,2,2,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0.25,0.4,0.25,0.307692307692308
"RG05BC",2,1,1,1,2,1,2,1,1,2,2,2,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0.5,0.6,0.25,0.461538461538462
"GL09MH",2,2,2,1,1,1,1,1,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.153846153846154
"SR10DA",2,2,2,2,1,1,1,1,2,1,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0.25,0,0.5,0.230769230769231
"AS05MH",1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,1,1,0,1,0,0.5,0.2,0.5,0.384615384615385
"TN11HL",2,2,2,2,2,2,2,2,1,2,2,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0.25,1,0.5,0.615384615384615
"HN05YS",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"VL08ZK",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"KR09AF",2,2,1,2,1,1,2,2,1,2,1,2,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0.6,0.5,0.384615384615385
"CA02MR",1,2,2,1,2,2,2,1,1,1,2,1,2,1,0,1,1,1,1,1,0,1,1,0,1,0,0.75,0.8,0.5,0.692307692307692
"SE07UF",2,2,1,1,2,1,1,2,2,2,2,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0.25,0.4,0,0.230769230769231
"SB12KR",1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0.75,0.4,0,0.384615384615385
"AJ10TO",1,2,2,2,1,1,1,1,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.153846153846154
"SS03FA",1,2,1,2,1,1,1,1,2,1,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0.25,0.153846153846154
"CR04EW",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"SB01MC",2,2,1,2,1,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.153846153846154
"MN09JA",1,2,2,2,1,1,1,1,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0.25,0.230769230769231
"SB12HL",1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0.75,0.2,0.25,0.384615384615385
"PT02RC",1,2,2,2,2,1,1,1,1,1,2,2,2,1,0,1,0,1,0,0,0,1,1,0,0,0,0.5,0.4,0.25,0.384615384615385
"SL03HL",2,2,1,1,1,1,1,1,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0.0769230769230769
"AD12HU",1,2,2,2,1,2,2,1,1,2,2,2,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0.5,0.6,0.25,0.461538461538462
"HL08RL",2,2,1,2,1,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0.0769230769230769
"SM06AD",1,2,1,2,1,2,2,1,2,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0.25,0.4,0,0.230769230769231
"UE03HN",1,2,2,2,2,2,2,1,1,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,1,0,0.5,0.8,0.75,0.692307692307692
"AN03OT",1,2,2,2,1,2,2,2,1,2,2,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0.5,0.8,0.5,0.615384615384615
"CN10MC",2,2,2,1,1,1,1,2,1,1,1,2,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0.5,0.4,0.75,0.538461538461538
"SS08CR",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"DN09BR",2,2,1,2,1,2,2,2,1,1,1,2,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0.8,0.75,0.538461538461538
"NN08SE",1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0.75,0.4,0,0.384615384615385
"CR09SE",2,2,1,2,2,2,2,1,1,2,1,2,2,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0.8,0.25,0.384615384615385
"KR08EI",1,2,1,2,2,1,1,1,2,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0.2,0.25,0.230769230769231
"BA08AD",2,2,1,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.8,0,0.307692307692308
"KR04SB",2,2,2,1,1,2,2,2,1,2,2,2,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0.5,0.8,0.25,0.538461538461538
"RG12CR",1,2,2,2,1,2,1,1,2,2,2,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0.2,0,0.230769230769231
